,alembik.csv,emisview.csv,mediate.csv,botsnscouts.csv,anaxagora.csv,matrex.csv,ontopia.csv,mediaportal.csv
alembik.csv,0.66,0.64,0.63,1.0,0.3,0.57,0.74,0.34
anaxagora.csv,0.42,0.45,0.57,0.42,0.38,0.45,0.86,0.24
botsnscouts.csv,0.7,0.35,0.55,0.76,0.23,0.7,0.83,0.25
emisview.csv,0.56,0.5,0.58,0.58,0.29,0.49,0.71,0.28
matrex.csv,0.5,0.15,0.69,0.62,0.2,0.85,0.94,0.34
mediaportal.csv,0.8,0.5,0.57,0.75,0.31,0.57,0.8,0.33
mediate.csv,0.56,0.26,0.68,0.71,0.14,0.51,0.82,0.38
ontopia.csv,0.41,0.33,0.54,0.59,0.16,0.61,0.97,0.25
