,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,ingex.csv,power-architect.csv,ambulant.csv,opendvr.csv,icescrum.csv
ambulant.csv,0.69,0.82,0.62,0.95,0.83,0.83,0.67,0.68,0.73,0.82,0.84,0.82,0.64,0.9,0.1,0.71,0.72
apertium.csv,0.62,0.52,0.93,0.42,0.61,0.67,0.64,0.68,0.71,0.49,0.0,0.66,0.63,0.59,0.77,0.93,0.51
beast-mcmc.csv,0.05,0.58,0.8,0.8,0.83,0.72,0.71,0.63,0.63,0.79,1.0,0.91,0.56,0.87,0.61,0.88,0.54
cuberok.csv,0.53,0.56,0.72,0.6,0.43,0.67,0.59,0.14,0.48,0.81,0.63,0.69,0.86,0.62,0.79,0.57,0.6
icescrum.csv,0.4,0.64,0.72,0.71,0.63,0.84,0.58,0.69,0.62,0.38,0.73,0.75,0.46,0.59,0.76,0.95,0.0
ingex.csv,0.72,0.85,0.87,0.8,0.78,0.7,0.74,0.87,0.77,0.67,0.88,0.94,0.03,0.85,0.83,0.86,0.75
jbasic.csv,0.57,0.66,0.72,0.71,0.66,0.7,0.7,0.7,0.63,0.02,0.6,0.65,0.8,0.86,0.69,0.92,0.66
jgnash.csv,0.69,0.79,0.86,0.8,0.91,0.66,0.75,0.95,0.2,0.83,0.82,0.88,1.0,0.81,0.95,0.96,0.69
jrefactory.csv,0.6,0.61,0.04,0.87,0.72,0.69,0.71,0.75,0.74,0.75,0.78,0.72,0.58,0.72,0.49,0.75,0.65
jsecurity.csv,0.65,0.63,0.86,0.05,0.78,0.76,0.64,0.66,0.68,0.6,0.91,0.79,0.45,0.67,0.63,0.65,0.64
libopenmetaverse.csv,0.86,0.82,0.81,0.77,0.84,0.03,0.8,0.78,0.77,0.95,0.68,0.78,0.8,0.68,0.6,0.52,0.76
mobicents.csv,0.56,0.55,0.79,0.56,0.59,0.85,0.02,0.81,0.7,0.69,0.79,0.78,0.54,0.59,0.69,0.81,0.79
opendvr.csv,0.93,0.59,0.72,0.69,0.66,0.81,0.81,0.59,0.59,0.61,0.56,0.94,0.76,0.54,0.78,0.09,0.64
openefm.csv,0.7,0.06,0.83,0.83,0.72,0.73,0.65,0.82,0.76,0.53,0.98,0.85,0.43,0.77,0.88,0.96,0.57
power-architect.csv,0.74,0.62,0.73,0.57,0.62,0.81,0.81,0.77,0.8,0.8,0.7,0.87,0.87,0.0,0.8,0.74,0.91
sidekar.csv,0.63,0.69,0.75,0.5,0.0,0.6,0.64,0.55,0.54,0.87,0.51,0.51,0.57,0.54,0.55,0.7,0.68
yarp0.csv,0.62,0.77,0.81,0.68,0.64,0.79,0.58,0.93,0.63,0.63,0.47,0.06,0.5,0.85,0.74,0.92,0.45
