,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,0.8,0.85,0.8,0.12,0.11,0.41,0.02,0.3,0.76,0.17,0.31,0.12,0.42,0.65,0.05,0.13
fleet-simulator.csv,0.9,0.89,0.36,0.88,0.86,0.56,0.72,0.77,0.91,0.07,0.99,0.0,0.75,0.82,0.74,0.8
geogebra.csv,0.77,0.67,0.33,0.12,0.65,0.03,0.82,0.48,0.36,0.04,0.39,0.0,0.25,0.25,0.19,0.8
gtad.csv,0.18,0.07,0.33,0.0,0.22,0.21,0.17,0.18,0.5,0.05,0.09,0.0,0.21,0.07,0.07,0.27
hibernate.csv,0.49,0.11,0.43,0.0,0.41,0.82,0.42,0.23,0.64,0.95,0.5,0.0,0.26,0.24,0.53,0.47
ipfire-wall.csv,0.49,0.37,0.05,0.12,0.24,0.24,0.35,0.59,0.68,0.33,0.29,0.12,0.43,0.32,0.26,0.27
irplus.csv,0.46,0.37,0.03,0.25,0.32,0.41,0.43,0.3,0.28,0.28,0.34,0.0,0.16,0.22,0.25,0.6
mumble.csv,0.15,0.56,0.8,0.12,0.0,0.06,0.22,0.75,0.69,0.12,0.52,0.0,0.42,0.43,0.83,0.47
ondex.csv,0.49,0.0,0.36,0.0,0.51,0.76,0.35,0.41,0.73,0.11,0.25,0.0,0.26,0.13,0.06,0.07
powerfolder.csv,0.2,0.22,0.18,0.0,0.49,0.71,0.43,0.34,0.09,0.2,0.12,0.12,0.25,0.28,0.52,0.2
projectts.csv,0.51,0.52,0.9,0.12,0.41,0.21,0.55,0.73,0.4,0.09,0.62,0.12,0.27,0.36,0.34,0.73
quantlib.csv,0.46,0.0,0.2,0.88,0.0,0.88,0.06,0.43,0.56,0.98,1.0,1.0,1.0,1.0,0.26,0.0
smartgwt.csv,0.58,0.37,0.33,0.25,0.46,0.56,0.51,0.14,0.13,0.26,0.4,0.88,0.16,0.33,0.52,0.47
tweetsharp.csv,0.28,0.59,0.97,0.38,0.68,0.91,0.48,0.52,0.74,0.67,0.64,0.88,0.71,0.62,0.46,0.33
wxlua.csv,0.86,0.74,0.41,0.62,0.76,0.79,0.66,0.07,0.17,0.14,0.34,0.88,0.15,0.47,0.63,0.73
