,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,factor.csv
elateportal.csv,0.79,0.79,0.77,0.67,0.8,0.85,0.79,0.68,0.81,0.62,0.16,0.47
factor.csv,0.84,0.63,0.81,0.72,0.71,0.59,0.74,1.0,0.85,0.98,0.64,0.18
fceugc.csv,0.61,0.49,0.65,0.42,0.55,0.81,0.59,0.59,0.87,0.67,0.64,0.38
flexpay.csv,0.85,0.79,0.57,0.93,1.0,0.54,0.66,0.5,0.9,0.81,0.92,0.99
jstock.csv,0.91,0.61,0.7,0.72,0.74,0.73,0.73,0.21,0.93,0.88,0.97,0.64
keyczar.csv,0.94,0.87,0.99,0.84,1.04,0.92,0.88,0.94,0.85,0.35,0.5,0.87
modellus.csv,0.85,0.52,0.65,0.81,0.49,0.31,0.43,0.63,0.62,0.84,0.95,0.95
open-data-kit.csv,0.79,0.78,0.88,0.98,0.52,0.66,0.31,0.43,0.9,0.75,0.97,0.74
phet.csv,0.45,0.92,0.88,0.88,1.09,0.94,0.97,0.87,0.9,0.93,1.0,0.91
qtractor.csv,0.86,0.44,0.64,0.56,0.47,0.44,0.6,0.65,0.72,0.96,0.97,0.98
sumatrapdf.csv,0.89,0.71,0.88,0.67,0.3,0.65,0.71,0.66,0.8,0.58,0.53,0.32
synergyspace.csv,0.82,0.79,0.71,0.91,0.51,0.53,0.7,0.68,0.44,0.78,0.91,0.98
