,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.34,0.3,0.73,0.28,0.39,0.92,0.35,0.5,0.67,0.2,0.0,0.08,0.32,0.37,0.21
calcubetimer.csv,0.81,0.67,0.91,0.82,0.89,1.0,0.84,1.0,0.9,0.92,1.0,0.88,0.83,0.95,0.89
chaosrts.csv,0.84,1.0,0.95,0.78,0.89,1.0,0.84,0.71,0.82,0.94,0.67,0.78,0.99,0.84,0.91
emono.csv,0.59,0.5,0.77,0.61,0.72,0.95,0.69,0.68,0.64,0.62,0.0,0.2,0.72,0.53,0.98
freelords.csv,0.62,0.83,0.68,0.99,0.67,0.78,0.69,0.7,0.77,0.72,1.0,0.78,0.73,0.63,0.81
jmonkeyengine.csv,0.34,0.2,0.64,0.19,0.89,0.16,0.51,0.16,0.08,0.4,0.33,0.0,0.21,0.47,0.26
jython.csv,0.78,0.93,1.0,0.75,0.78,0.19,0.8,0.88,0.9,0.91,0.67,0.98,0.46,0.74,0.82
mclient-mume.csv,0.16,1.0,0.18,0.2,0.17,0.24,0.59,0.12,0.15,0.48,0.33,0.32,0.14,0.26,0.44
papertoolkit.csv,0.03,0.07,0.05,0.0,0.06,0.0,0.16,0.0,0.0,0.03,1.0,0.02,0.01,0.0,0.01
primefaces.csv,0.41,0.67,0.45,0.52,0.67,0.0,0.8,0.32,0.15,0.83,1.0,1.0,0.46,0.79,0.88
st-filteredstatistics.csv,0.59,0.6,0.82,0.44,0.67,0.68,0.71,0.57,1.0,0.53,0.67,0.45,0.73,0.95,0.68
toped.csv,0.94,0.77,0.68,0.15,0.56,0.97,1.0,0.71,0.64,0.79,0.33,0.2,0.96,0.79,0.86
triplea.csv,1.0,0.6,0.77,0.41,0.67,0.65,0.71,0.75,0.74,0.35,0.33,0.15,0.72,0.68,0.59
web-cat.csv,0.5,0.33,0.45,0.34,0.61,0.24,0.69,0.43,0.1,0.46,0.33,0.15,0.17,0.95,0.2
