,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.38,0.34,0.16,0.32,0.43,0.93,0.39,0.56,0.67,0.24,0.0,0.1,0.36,0.4,0.24
calcubetimer.csv,0.41,0.66,0.05,0.69,0.55,0.0,0.71,1.0,0.57,0.0,0.41,0.55,0.52,0.35,0.39
chaosrts.csv,0.56,0.27,0.0,0.7,0.6,0.0,0.36,0.52,0.54,0.95,0.59,0.66,0.98,0.5,0.27
emono.csv,0.49,0.34,0.2,0.56,0.47,0.21,0.62,0.51,0.0,0.0,0.0,0.23,0.42,0.5,0.97
freelords.csv,0.37,0.53,0.13,0.99,0.48,0.47,0.57,0.71,0.42,0.76,0.79,0.66,0.66,0.49,0.33
jmonkeyengine.csv,0.39,0.24,0.69,0.22,0.91,0.19,0.55,0.19,0.1,0.0,0.38,0.0,0.25,0.51,0.3
jython.csv,0.67,0.0,1.0,0.54,0.61,0.22,0.69,0.59,0.0,0.0,0.37,0.0,0.42,0.47,0.65
mclient-mume.csv,0.19,1.0,0.22,0.24,0.2,0.28,0.6,0.15,0.18,0.0,0.38,0.35,0.17,0.3,0.47
papertoolkit.csv,0.04,0.09,0.06,0.0,0.07,0.0,0.19,0.0,0.0,0.04,1.0,0.02,0.01,0.0,0.01
primefaces.csv,0.43,0.4,0.39,0.52,0.57,0.0,0.35,0.3,0.18,0.0,0.78,1.0,0.5,0.63,0.27
st-filteredstatistics.csv,0.55,0.62,0.26,0.46,0.64,0.65,0.49,0.6,0.98,0.58,0.62,0.49,0.66,0.58,0.54
toped.csv,0.53,0.72,0.71,0.18,0.49,0.17,1.0,0.65,0.56,0.82,0.38,0.23,0.0,0.67,0.39
triplea.csv,1.0,0.62,0.2,0.45,0.63,0.62,0.67,0.68,0.71,0.4,0.36,0.18,0.53,0.61,0.59
web-cat.csv,0.54,0.37,0.5,0.35,0.6,0.28,0.62,0.44,0.12,0.0,0.36,0.18,0.2,0.95,0.23
