,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.19,0.3,0.96,0.25,0.32,0.0,0.33,0.0,0.31,0.0,0.23,0.04,0.32,0.42,0.29
calcubetimer.csv,0.86,0.37,0.99,0.57,0.78,1.0,0.56,0.0,0.77,1.0,0.88,0.78,0.79,0.9,0.88
chaosrts.csv,0.76,0.93,1.0,0.5,0.74,1.0,0.89,0.75,0.77,0.0,0.6,0.59,0.05,0.81,0.93
emono.csv,0.71,0.85,0.95,0.57,0.8,0.95,0.56,0.75,1.0,1.0,0.55,0.37,0.84,0.58,0.05
freelords.csv,0.86,0.78,0.97,0.0,0.78,0.82,0.67,0.25,0.85,0.0,0.57,0.59,0.53,0.74,0.9
jmonkeyengine.csv,0.14,0.11,0.03,0.36,0.0,0.05,0.22,0.0,0.15,1.0,0.15,0.07,0.26,0.26,0.1
jython.csv,0.57,1.0,0.0,0.75,0.68,0.21,0.56,0.75,1.0,1.0,0.87,1.0,0.68,0.81,0.64
mclient-mume.csv,0.1,0.0,0.01,0.11,0.04,0.31,0.33,0.0,0.08,1.0,0.13,0.48,0.05,0.35,0.36
papertoolkit.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.02
primefaces.csv,0.43,0.85,0.75,0.46,0.64,0.02,0.89,0.75,0.23,1.0,0.58,0.0,0.26,0.65,0.93
st-filteredstatistics.csv,0.57,0.3,0.93,0.46,0.46,0.46,0.78,0.25,0.08,0.0,0.52,0.22,0.53,0.77,0.71
toped.csv,0.81,0.44,0.15,0.14,0.68,0.96,0.0,0.5,0.62,0.0,0.07,0.26,1.0,0.58,0.88
triplea.csv,0.0,0.26,0.95,0.29,0.5,0.46,0.44,0.5,0.38,0.0,0.43,0.15,0.74,0.58,0.4
web-cat.csv,0.24,0.33,0.13,0.61,0.44,0.26,0.56,0.5,0.15,1.0,0.37,0.26,0.11,0.03,0.24
