,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,wheat.csv,panda3d.csv
benojt.csv,0.64,0.31,0.63,0.99,0.14,0.7,0.47
jahshaka.csv,0.56,0.56,0.45,0.44,0.13,0.5,0.31
jatlas.csv,0.64,0.3,0.52,0.71,0.53,0.11,0.19
jedit.csv,0.71,0.37,0.6,0.98,0.15,0.56,0.39
open-media-library.csv,0.59,0.45,0.68,0.79,0.29,0.5,0.45
panda3d.csv,0.63,0.25,0.53,0.84,0.28,0.56,0.47
wheat.csv,0.36,0.29,0.51,0.58,0.15,0.71,0.35
