,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.13,0.04,0.39,0.87,0.56,0.31,0.65,0.22,0.46,0.1,0.6,0.75,0.06
bscwweasel.csv,0.01,0.07,0.2,0.18,0.29,0.13,0.28,0.0,0.38,0.08,0.04,0.18,0.06
capcode.csv,0.01,0.83,0.81,0.77,0.24,0.1,0.27,0.44,0.14,0.17,0.77,0.57,0.38
emite.csv,0.64,0.3,0.27,0.25,0.2,0.2,0.27,0.02,0.09,0.05,0.22,0.3,0.25
extprosys.csv,1.0,0.93,0.86,0.8,0.73,0.28,0.87,0.0,0.73,0.93,0.93,0.45,0.38
lamp.csv,0.96,0.24,0.74,0.79,0.98,0.87,0.82,1.0,0.53,0.98,0.54,0.45,1.0
retromenu.csv,0.02,0.32,0.07,0.13,0.22,0.26,0.24,0.76,0.19,0.39,0.05,0.1,0.56
smbopensoft.csv,0.19,0.97,0.93,0.64,0.78,0.54,0.27,0.21,0.33,0.19,0.96,0.75,0.75
snakeyaml.csv,0.14,0.52,0.25,0.29,0.49,0.28,0.25,0.31,0.36,0.12,0.18,0.08,0.44
stuproa-cims.csv,0.03,0.01,0.22,0.21,0.56,0.01,0.08,0.56,0.23,0.0,0.08,0.18,0.0
ta3d.csv,0.0,0.05,0.63,0.13,0.53,0.01,0.3,0.02,0.07,0.69,0.11,0.42,0.5
thout.csv,0.63,0.98,0.19,0.3,0.8,0.98,0.99,0.99,0.97,0.98,0.87,1.0,0.75
vrjuggler.csv,0.08,0.14,0.05,0.34,0.16,0.08,0.46,0.0,0.13,0.32,0.08,0.32,0.0
