,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.94,0.86,0.83,0.51,0.58,0.78,0.55,0.58,0.64,0.86,0.72,0.51,0.69
bscwweasel.csv,0.67,0.91,0.6,0.67,0.48,0.97,0.58,0.0,0.56,0.83,0.92,0.91,0.75
capcode.csv,0.67,0.44,0.5,0.5,0.63,0.94,0.59,0.98,0.92,0.9,0.42,0.51,0.68
emite.csv,0.34,0.65,0.61,0.9,0.71,0.69,0.8,0.8,0.95,0.75,0.94,0.53,0.78
extprosys.csv,0.27,0.38,0.51,0.49,0.35,0.56,0.41,0.67,0.44,0.37,0.44,0.47,0.5
lamp.csv,0.28,0.64,0.6,0.44,0.35,0.5,0.38,0.5,0.52,0.35,0.58,0.59,0.41
retromenu.csv,0.86,0.63,0.82,0.84,0.44,0.69,0.72,0.52,0.77,0.56,0.94,0.92,0.41
smbopensoft.csv,0.41,0.39,0.5,0.66,0.51,0.69,0.86,0.96,0.73,0.91,0.43,0.39,0.54
snakeyaml.csv,0.52,0.42,0.47,0.62,0.36,0.57,0.7,0.43,0.53,0.89,0.59,0.83,0.4
stuproa-cims.csv,0.67,0.67,0.61,0.56,0.38,0.0,0.89,0.41,0.71,0.0,0.95,0.79,0.0
ta3d.csv,0.0,0.89,0.57,0.81,0.39,0.5,0.52,0.5,0.95,0.37,0.96,0.42,0.34
thout.csv,0.37,0.41,0.59,0.62,0.46,0.48,0.37,0.5,0.37,0.36,0.41,0.38,0.55
vrjuggler.csv,0.95,0.95,0.86,0.85,0.9,0.92,0.74,0.0,0.96,0.63,0.95,0.8,0.83
