,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.07,0.19,0.3,0.19,0.3,0.31,0.16,0.63,0.43,0.09,0.06,0.47,0.59
bscwweasel.csv,0.04,0.16,0.34,0.44,0.45,0.27,0.32,0.0,0.39,0.09,0.21,0.19,0.15
capcode.csv,0.04,0.19,0.38,0.23,0.4,0.09,0.49,0.27,0.33,0.0,0.24,0.41,0.56
emite.csv,0.67,0.14,0.39,0.16,0.42,0.37,0.06,0.14,0.19,0.1,0.26,0.63,0.23
extprosys.csv,0.66,0.18,0.39,0.24,0.56,0.54,0.28,0.15,0.38,0.37,0.24,0.54,0.51
lamp.csv,0.65,0.3,0.33,0.19,0.45,0.47,0.25,0.48,0.47,0.36,0.26,0.37,0.81
retromenu.csv,0.1,0.17,0.36,0.27,0.65,0.41,0.07,0.52,0.21,0.19,0.4,0.41,0.62
smbopensoft.csv,0.81,0.16,0.34,0.17,0.25,0.34,0.18,0.23,0.22,0.0,0.22,0.56,0.66
snakeyaml.csv,0.69,0.2,0.41,0.21,0.57,0.45,0.12,0.51,0.3,0.16,0.49,0.16,0.6
stuproa-cims.csv,0.0,0.24,0.38,0.31,0.54,0.0,0.29,0.51,0.56,0.0,0.29,0.31,0.0
ta3d.csv,0.0,0.17,0.36,0.3,0.55,0.0,0.22,0.0,0.29,0.32,0.16,0.45,0.72
thout.csv,0.6,0.17,0.53,0.23,0.35,0.44,0.26,0.48,0.39,0.36,0.26,0.58,0.71
vrjuggler.csv,0.2,0.06,0.0,0.14,0.19,0.03,0.04,0.0,0.15,0.48,0.21,0.27,0.29
