,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.71,0.18,0.62,0.16,0.2,0.21,0.19,0.28,0.25,0.15
fritzing.csv,0.5,0.27,0.3,0.3,0.4,0.47,0.04,0.17,0.5,0.29
jlinalg.csv,0.07,0.16,0.79,0.69,0.2,0.5,0.71,0.83,0.41,0.53
knowledge.csv,0.14,0.67,0.62,0.87,0.0,0.65,0.31,0.61,0.38,0.71
massiv.csv,0.0,0.04,0.16,0.0,0.0,0.03,0.0,0.24,0.0,0.0
multitude.csv,0.86,0.5,0.68,0.8,0.6,0.67,0.62,0.61,0.66,0.31
playerstage.csv,0.21,0.43,0.57,0.25,0.4,0.38,0.08,0.2,0.34,0.2
quarkplusplus.csv,0.29,0.45,0.43,0.64,0.2,0.29,0.23,0.93,0.25,0.49
rtrt-on-gpu.csv,0.14,0.92,0.61,0.75,0.6,0.58,0.15,0.22,0.62,0.63
superwaba.csv,0.0,0.2,0.25,0.1,0.0,0.16,0.19,0.46,0.09,0.08
