,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv
adaptagrams.csv,1.0,0.97,0.51,0.19,0.2
aime.csv,0.91,0.94,0.31,0.23,0.93
badtrinitycore.csv,0.5,0.9,0.34,1.0,0.07
electric-core.csv,0.91,0.8,0.99,0.11,0.24
olsrd.csv,0.58,1.0,0.24,0.12,0.22
