,paintown.csv,triplea.csv,fbmanager.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,megameknet.csv,fityk.csv,ondex.csv,fleet-simulator.csv,duplicati.csv,xamj.csv
dspace-gsoc.csv,0.45,0.92,0.4,0.65,0.93,0.62,0.5,0.44,0.94,0.92,0.93,0.59,0.87,0.16,1.05,0.96
fbmanager.csv,1.0,0.97,0.35,1.0,1.0,0.81,0.92,1.0,1.0,1.0,1.0,0.86,1.0,0.87,0.55,1.0
fityk.csv,0.6,0.55,0.52,0.59,0.87,0.62,0.73,0.77,0.85,0.93,0.45,0.64,0.67,0.81,1.0,0.8
fleet-simulator.csv,0.78,0.91,0.72,0.86,0.67,0.72,0.85,0.87,0.87,0.54,0.7,0.82,0.99,0.02,1.0,0.68
google-caja.csv,0.43,0.9,0.39,0.45,0.82,0.5,0.79,0.42,0.88,0.54,0.59,0.83,0.93,0.2,1.0,0.8
itext.csv,0.52,0.66,0.64,0.73,0.68,0.51,0.71,0.36,0.74,0.49,0.44,0.68,0.74,0.48,0.41,0.61
k3b.csv,0.64,0.82,1.0,0.97,0.97,0.68,1.0,0.71,0.87,1.0,0.98,0.96,0.94,1.01,1.0,0.99
megameknet.csv,0.64,0.75,0.68,0.87,0.45,0.62,0.96,0.91,0.68,0.38,0.47,0.7,0.91,0.57,0.55,0.6
myfaces.csv,0.97,0.85,0.77,0.78,0.77,0.78,0.92,0.94,0.81,0.91,0.65,0.84,0.94,0.96,0.79,0.62
ondex.csv,0.99,0.88,1.0,0.94,0.84,1.0,0.89,0.97,0.81,0.99,0.97,0.91,0.79,0.85,0.83,0.76
paintown.csv,0.38,0.68,0.78,0.98,0.87,0.62,0.55,0.73,0.83,0.98,0.95,0.61,0.87,1.03,1.16,0.95
powerfolder.csv,0.77,0.88,0.74,1.0,0.94,0.71,1.0,1.0,1.0,1.0,0.94,0.82,1.0,0.87,0.97,0.94
smartgwt.csv,0.65,0.59,0.66,1.0,0.49,0.78,0.99,0.99,0.79,0.36,0.81,0.53,0.72,1.24,1.03,0.93
triplea.csv,0.51,0.35,0.56,0.58,0.78,0.57,0.65,0.49,0.44,0.54,0.54,0.5,0.71,0.09,0.31,0.53
xamj.csv,0.59,0.82,0.53,0.61,0.45,0.64,0.74,0.57,0.48,0.88,0.52,0.58,0.88,0.85,0.64,0.49
