,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.85,0.54,0.9,0.75,0.46,0.68,0.4,0.69,0.53,0.25,0.42
gdis.csv,0.56,0.65,0.69,0.56,0.72,0.75,0.66,0.82,0.21,0.65,0.65
genoviz.csv,0.91,0.83,0.97,0.91,0.66,0.82,0.94,0.86,0.93,0.47,0.09
kml.csv,0.52,0.89,1.0,0.94,0.94,0.78,0.29,0.92,0.49,0.94,1.0
omseek.csv,0.96,0.86,1.0,0.91,0.61,0.37,0.94,0.95,0.84,0.75,0.45
ossbuild.csv,0.41,0.46,0.34,0.67,0.49,0.48,0.89,0.59,0.7,0.69,0.87
popeye-chess.csv,0.58,0.4,0.87,0.54,0.47,0.6,0.4,0.61,0.45,0.7,0.52
quarkplayer.csv,0.87,0.75,0.84,0.36,0.76,0.88,0.85,0.94,0.77,0.77,1.02
turbotrader-bos.csv,0.61,0.4,0.9,0.7,0.39,0.61,0.4,0.64,0.42,0.64,0.67
virtuoso.csv,1.0,0.51,0.88,0.92,0.78,0.94,1.0,0.53,1.0,0.75,0.87
zscreen.csv,0.3,0.57,0.77,0.86,0.73,0.49,0.67,0.91,0.64,0.64,0.47
