,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.18,0.51,0.3,0.31,0.62,0.38,0.7,0.62,0.52,0.83,0.87
gdis.csv,0.51,0.66,0.58,0.75,0.63,0.58,0.63,0.41,0.86,0.51,0.44
genoviz.csv,0.11,0.2,0.04,0.11,0.4,0.22,0.07,0.17,0.09,0.61,0.98
kml.csv,0.63,0.38,0.0,0.24,0.24,0.59,0.77,0.3,0.62,0.33,0.0
omseek.csv,0.05,0.17,0.0,0.11,0.48,0.71,0.07,0.06,0.19,0.37,0.63
ossbuild.csv,0.67,0.8,0.75,0.62,0.64,0.67,0.13,0.49,0.37,0.38,0.43
popeye-chess.csv,0.48,0.68,0.28,0.63,0.71,0.49,0.65,0.59,0.62,0.37,0.61
quarkplayer.csv,0.2,0.52,0.28,0.79,0.45,0.27,0.39,0.14,0.29,0.29,0.0
turbotrader-bos.csv,0.44,0.67,0.33,0.4,0.71,0.46,0.72,0.64,0.67,0.52,0.64
virtuoso.csv,0.0,0.55,0.15,0.32,0.55,0.24,0.0,0.54,0.0,0.55,0.44
zscreen.csv,0.8,0.54,0.58,0.45,0.6,0.74,0.38,0.12,0.44,0.64,0.85
