,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.15,0.46,0.28,0.27,0.59,0.33,0.69,0.76,0.47,0.83,1.0
gdis.csv,0.46,0.8,0.66,0.91,0.89,0.79,0.75,0.4,0.86,0.5,0.4
genoviz.csv,0.09,0.17,0.03,0.09,0.35,0.18,0.06,0.14,0.07,0.58,1.0
kml.csv,0.63,1.0,0.94,1.0,0.95,1.0,0.75,0.95,0.61,0.75,1.0
omseek.csv,0.04,0.14,0.0,0.09,0.44,0.7,0.06,0.05,0.16,0.33,0.6
ossbuild.csv,0.65,0.91,0.75,0.73,0.63,0.67,0.11,0.45,0.32,0.33,1.0
popeye-chess.csv,0.43,0.66,0.25,0.64,0.75,0.45,0.61,0.6,0.58,0.33,0.6
quarkplayer.csv,0.17,0.57,0.25,0.82,0.44,0.24,0.39,0.12,0.25,0.25,0.0
turbotrader-bos.csv,0.39,0.63,0.31,0.36,0.7,0.42,0.72,0.74,0.65,0.5,0.8
virtuoso.csv,0.93,0.51,0.12,0.91,0.82,1.0,1.0,0.5,1.0,0.67,0.8
zscreen.csv,0.8,0.51,0.91,1.0,0.82,0.82,0.33,0.1,0.4,0.75,1.0
