,zscreen.csv,popeye-chess.csv,ossbuild.csv,quarkplayer.csv,turbotrader-bos.csv,omseek.csv,kml.csv,virtuoso.csv,gdis.csv,biodwh.csv,genoviz.csv
biodwh.csv,0.0,0.02,0.54,0.17,0.22,0.13,0.26,0.64,0.08,0.18,0.42
gdis.csv,0.15,0.61,0.6,0.56,0.71,0.72,0.62,0.56,0.15,0.42,0.24
genoviz.csv,0.0,0.0,0.01,0.09,0.11,0.03,0.0,0.01,0.08,0.23,0.09
kml.csv,0.37,0.89,1.0,0.94,0.94,0.78,0.15,0.92,0.31,0.9,1.0
omseek.csv,0.0,0.02,0.0,0.08,0.23,0.22,0.0,0.01,0.0,0.35,0.2
ossbuild.csv,0.22,0.45,0.23,0.61,0.33,0.34,0.08,0.23,0.15,0.17,0.87
popeye-chess.csv,0.11,0.2,0.45,0.4,0.4,0.24,0.1,0.45,0.15,0.21,0.33
quarkplayer.csv,0.26,0.61,0.37,0.32,0.51,0.45,0.59,0.31,0.15,0.18,0.18
turbotrader-bos.csv,0.07,0.14,0.58,0.29,0.25,0.19,0.28,0.59,0.23,0.39,0.64
virtuoso.csv,1.0,0.16,0.11,0.91,0.76,0.94,1.0,0.17,1.0,0.68,0.84
zscreen.csv,0.22,0.3,0.76,0.86,0.71,0.46,0.03,0.04,0.23,0.59,0.47
