,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv
chipster.csv,0.07,0.55,0.34,0.28,0.84,0.92,1.0,0.38,0.33,0.41,0.36,0.33,0.42,0.11,0.17,0.21,0.25
fontforge.csv,0.05,0.39,0.14,0.28,0.57,0.42,1.0,0.96,0.11,0.51,0.19,0.17,0.23,0.11,0.67,0.29,0.28
glas.csv,0.27,0.16,0.21,0.2,0.52,0.38,0.0,0.79,0.39,0.05,0.23,0.33,0.3,0.95,0.17,0.21,0.38
gmerlin.csv,0.32,0.68,0.45,0.56,0.34,0.45,1.0,0.67,0.33,0.74,0.29,0.5,0.41,0.16,0.17,0.86,0.94
hannosset.csv,0.0,0.03,0.07,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,0.0,0.0
hatari.csv,0.37,0.55,0.97,0.44,0.59,0.36,1.0,0.71,0.78,0.62,0.67,0.61,0.37,0.3,0.5,0.64,0.16
jaolt.csv,0.73,0.9,0.66,0.6,0.76,0.8,1.0,0.75,0.89,0.41,0.86,0.44,0.99,0.73,0.83,0.71,0.28
jcl.csv,0.02,0.32,0.03,0.08,0.05,0.03,0.0,0.08,0.06,0.31,0.04,0.11,0.05,0.0,0.0,0.93,0.03
ltp.csv,0.05,0.29,0.1,0.12,0.99,0.05,0.0,0.08,0.0,0.0,0.05,0.06,0.12,0.0,0.33,0.0,0.09
mia.csv,0.41,0.52,0.17,0.16,0.03,0.45,0.0,0.67,0.06,0.38,0.86,0.94,0.38,0.0,0.17,0.43,0.41
net-snmp.csv,0.95,0.52,0.38,0.32,0.59,0.38,1.0,0.33,0.22,0.36,0.37,0.22,0.4,0.11,0.33,0.57,0.44
opde.csv,0.68,0.48,0.41,0.96,0.74,0.39,0.0,0.17,0.33,0.56,0.49,0.22,0.44,0.11,0.5,0.43,0.47
oppna-program-hsatools.csv,0.95,0.9,0.97,1.0,1.0,0.88,1.0,1.0,0.94,0.97,0.99,1.0,0.97,0.89,0.83,0.79,0.78
powerfolder-.csv,0.29,1.0,0.0,0.08,0.06,0.17,0.0,0.0,0.06,0.23,0.19,0.11,0.25,0.0,0.0,0.71,0.0
qlc.csv,0.02,0.03,0.07,0.08,0.01,0.05,0.0,0.12,0.94,0.03,0.06,0.06,0.03,0.03,0.0,0.14,0.09
tcl.csv,0.15,0.1,0.07,0.24,0.55,0.27,0.0,0.17,0.33,0.95,0.16,0.33,0.08,0.19,0.17,0.21,0.09
