,knowledge.csv,pentahoanalysistool.csv,betoffice.csv,ifmo-game-1.csv,voms.csv,sumatrapdf.csv,projecteqemu.csv
betoffice.csv,0.55,0.15,0.64,0.71,0.44,0.65,0.69
ifmo-game-1.csv,0.06,0.22,0.09,0.86,0.0,0.42,0.11
knowledge.csv,0.89,0.78,0.93,0.86,0.78,0.97,0.83
pentahoanalysistool.csv,0.76,0.7,0.13,0.29,0.56,0.94,0.42
projecteqemu.csv,0.77,0.41,0.07,0.71,0.0,0.77,0.81
sumatrapdf.csv,0.97,0.89,0.8,0.86,0.67,0.81,0.97
voms.csv,0.73,0.81,0.04,0.43,0.89,0.71,0.78
