,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.52,0.28,0.3,0.27,0.49,0.04,0.29,1.0,0.2,0.24
fritzing.csv,0.62,0.57,0.97,0.55,0.79,0.03,0.27,0.49,0.36,0.4
jlinalg.csv,0.99,0.54,0.63,0.59,0.96,0.01,0.3,0.45,0.61,0.68
knowledge.csv,0.72,0.32,0.36,0.58,1.0,0.02,0.25,0.55,0.6,0.64
massiv.csv,0.0,0.0,0.13,0.12,0.0,1.0,0.0,0.07,0.0,0.0
multitude.csv,0.65,0.43,0.62,0.56,0.79,0.01,0.22,0.58,0.52,0.99
playerstage.csv,0.51,0.52,0.59,0.99,0.69,0.03,0.1,0.51,0.42,0.52
quarkplusplus.csv,0.4,0.38,0.46,0.38,0.51,0.03,0.13,0.47,0.96,0.39
rtrt-on-gpu.csv,0.1,0.35,0.34,0.3,0.38,0.02,1.0,0.14,0.06,0.34
superwaba.csv,0.42,0.96,0.62,0.5,0.69,0.02,0.25,0.51,0.49,0.58
