,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,multitude.csv
amateur-scrolls.csv,0.36,0.18,0.19,0.22,0.32,0.5,0.2,1.0,0.12,0.14
fritzing.csv,0.48,0.6,0.94,0.53,0.66,0.75,0.3,0.5,0.33,0.31
jlinalg.csv,0.98,0.86,0.92,0.98,1.0,1.0,1.0,0.95,1.0,0.97
knowledge.csv,0.58,0.28,0.29,0.98,1.0,1.0,0.8,1.0,0.96,0.75
massiv.csv,0.0,0.0,0.07,0.07,0.0,1.0,0.0,0.05,0.0,0.0
multitude.csv,0.6,0.46,0.69,0.78,0.66,0.5,0.5,0.95,0.5,0.98
playerstage.csv,0.38,0.56,0.62,0.98,0.53,0.75,0.1,0.5,0.33,0.49
quarkplusplus.csv,0.26,0.28,0.35,0.28,0.34,0.5,0.1,0.6,0.92,0.28
rtrt-on-gpu.csv,0.06,0.44,0.29,0.31,0.24,0.5,1.0,0.1,0.04,0.28
superwaba.csv,0.28,0.92,0.74,0.6,0.55,0.75,0.4,0.9,0.46,0.58
