,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.17,0.7,0.54,0.68
neoengine.csv,0.64,0.67,0.56,0.59
omseek.csv,0.3,0.76,0.41,0.11
pcsx2.csv,0.59,0.74,0.73,0.32
