,plearn.csv,re2c.csv,aubit4gl.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,glelite.csv
aubit4gl.csv,0.56,0.73,0.99,0.36,0.45,0.43,0.69
glelite.csv,0.0,0.0,0.17,0.13,0.05,0.05,1.0
moving-pictures.csv,0.57,0.43,0.49,0.97,0.36,0.53,0.72
plearn.csv,0.87,0.36,0.48,0.41,0.35,0.81,0.77
re2c.csv,0.5,1.0,0.37,0.54,0.5,0.68,0.33
rebecca-aiml.csv,0.33,0.2,0.54,0.54,0.51,0.97,0.34
xfce.csv,0.57,0.4,0.5,0.61,0.97,0.56,0.62
