,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv
crisscross.csv,0.21,0.42,0.91,0.54,0.0,0.43,0.57,0.49,0.0,0.56
cubefs.csv,0.42,0.65,0.22,0.55,0.0,0.6,0.48,0.96,0.97,0.58
iaml.csv,0.51,0.35,0.64,0.59,0.8,0.47,0.96,0.38,0.0,0.49
ivataopenportal.csv,0.51,0.55,0.54,0.6,0.65,0.95,0.56,0.36,0.0,0.54
mb-unit.csv,0.45,0.36,0.61,0.98,0.71,0.57,0.38,0.67,0.8,0.64
mvdsv.csv,0.01,0.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0
nova.csv,0.6,0.93,0.71,0.47,0.0,0.44,0.46,0.45,0.0,0.62
openwbem.csv,0.93,0.62,0.46,0.54,0.58,0.53,0.42,0.0,0.0,0.62
xcmetadataservicestoolkit.csv,0.46,0.0,0.65,0.5,0.75,0.57,0.58,0.26,0.9,0.96
