,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.45,0.25,0.18,0.37,0.35,0.13,0.97,0.41,0.35,0.15
empserver.csv,0.39,0.32,0.19,0.38,0.96,0.16,0.26,0.5,0.56,0.65
enlightenment.csv,0.62,0.42,0.26,0.99,0.53,0.11,0.36,0.51,0.56,0.55
ffigo.csv,0.63,0.24,0.25,0.62,0.52,0.0,0.44,0.97,0.59,0.65
ildjit.csv,0.09,1.0,0.06,0.04,0.25,0.0,0.15,0.07,0.15,0.14
jfreereport.csv,0.38,0.14,0.95,0.32,0.22,0.0,0.22,0.32,0.39,0.35
mplayer-ce.csv,0.73,0.21,0.21,0.62,0.6,0.17,0.33,0.69,0.98,0.65
psycle.csv,0.99,0.35,0.24,0.63,0.49,0.06,0.41,0.6,0.53,0.42
wikipediardware.csv,0.69,0.32,0.25,0.71,0.63,0.12,0.37,0.72,0.6,0.99
wxjs.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
