,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,mplayer-ce.csv,wikipediardware.csv
cortex-vfx.csv,0.47,0.27,0.17,0.1,0.18,0.22,0.0,0.2,0.24,0.0
empserver.csv,0.21,0.39,0.32,0.2,0.0,0.3,0.63,0.18,0.72,0.43
enlightenment.csv,0.22,0.51,0.4,0.0,0.52,0.29,0.41,0.41,0.73,0.29
ffigo.csv,0.42,0.77,0.66,0.38,0.64,0.21,0.34,0.0,0.9,0.57
ildjit.csv,0.09,0.0,0.08,0.05,0.18,0.09,0.12,0.11,0.11,0.14
jfreereport.csv,0.51,0.38,0.0,0.3,0.15,0.1,0.04,0.43,0.28,0.29
mplayer-ce.csv,0.83,0.73,0.54,0.78,0.82,0.87,0.33,0.8,0.0,0.86
psycle.csv,0.01,0.59,0.69,0.53,0.7,0.58,0.55,0.41,0.7,0.0
wikipediardware.csv,0.37,0.57,0.87,0.67,0.76,0.77,0.89,0.61,0.85,0.0
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0
