,qtractor.csv,quarkplayer.csv,open-data-kit.csv,turbotrader-bos.csv,ng4j.csv
ng4j.csv,0.65,0.14,0.6,0.55,0.92
open-data-kit.csv,0.73,0.1,1.0,0.55,0.35
qtractor.csv,0.96,0.08,0.53,0.45,0.4
quarkplayer.csv,0.18,0.9,0.16,0.16,0.17
turbotrader-bos.csv,0.53,0.04,0.29,0.97,0.32
