,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.37,0.16,0.71,0.34,0.38,0.25,0.21,0.33,0.53,0.93,0.29,0.31
ctrlr.csv,0.0,0.0,0.53,0.23,0.08,0.09,0.98,0.0,0.37,0.15,0.1,0.21
dvt.csv,0.26,0.21,0.57,0.98,0.19,0.06,0.18,0.25,0.67,0.18,0.13,0.66
flylinkdc.csv,0.96,0.0,0.03,0.15,0.46,0.3,0.17,0.47,0.48,0.28,0.32,0.26
free-evolution.csv,0.42,0.19,0.49,0.19,0.41,0.27,0.22,0.4,0.29,0.15,0.88,0.32
fw4spl.csv,0.2,0.02,0.45,0.19,0.38,0.95,0.47,0.29,0.01,0.15,0.3,0.33
ipfire-wall.csv,0.27,0.27,0.18,0.34,0.25,0.19,0.21,0.94,0.43,0.21,0.2,0.23
ldview.csv,0.35,0.14,0.23,0.33,0.98,0.27,0.24,0.5,0.54,0.17,0.23,0.29
nuttx.csv,0.42,0.13,1.0,0.5,0.39,0.22,0.24,0.43,0.98,0.25,0.37,0.66
uclmda.csv,0.35,0.15,0.46,0.0,0.52,0.17,0.55,0.31,1.0,0.23,0.26,0.41
vdsf.csv,0.42,0.9,0.87,0.44,0.53,0.21,0.42,0.47,0.98,0.25,0.37,0.67
xcf.csv,0.42,0.16,0.9,0.55,0.53,0.24,0.34,0.5,0.79,0.28,0.43,0.95
