,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.38,0.93,0.63,0.33,0.48,0.31,0.19,0.28,0.36,0.88,0.27,0.19
ctrlr.csv,0.0,0.0,0.39,0.17,0.05,0.06,0.95,0.0,0.23,0.17,0.06,0.12
dvt.csv,0.24,0.58,0.43,0.98,0.14,0.06,0.14,0.17,0.52,0.21,0.09,0.88
flylinkdc.csv,0.92,0.0,0.02,0.12,0.43,0.38,0.14,0.56,0.32,0.38,0.3,0.16
free-evolution.csv,0.41,0.25,0.35,0.29,0.48,0.25,0.24,0.39,0.17,0.12,0.79,0.19
fw4spl.csv,0.19,0.01,0.3,0.26,0.52,0.9,0.81,0.33,0.01,0.17,0.21,0.22
ipfire-wall.csv,0.22,0.58,0.1,0.31,0.19,0.27,0.19,0.94,0.27,0.21,0.15,0.16
ldview.csv,0.43,0.37,0.14,0.55,0.95,0.62,0.24,0.5,0.37,0.21,0.21,0.22
nuttx.csv,0.73,0.77,1.0,0.76,0.57,0.85,0.33,0.72,1.0,0.92,0.91,0.88
uclmda.csv,0.41,0.14,0.31,0.0,0.81,0.15,0.62,0.44,1.0,0.5,0.24,0.28
vdsf.csv,0.95,0.85,0.93,0.86,1.0,0.85,1.0,0.94,0.99,1.0,0.97,0.97
xcf.csv,0.84,1.0,1.0,0.76,0.86,0.65,0.62,0.78,0.67,1.0,0.73,0.94
