,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,codepurge.csv,free-evolution.csv,xcf.csv
codepurge.csv,0.67,0.93,0.74,0.72,0.77,0.71,0.84,0.75,0.72,0.12,0.75,0.81
ctrlr.csv,1.01,1.0,0.71,0.84,0.96,0.94,0.05,1.01,0.77,0.85,0.94,0.88
dvt.csv,0.79,0.57,0.75,0.03,0.88,0.95,0.87,0.84,0.96,0.81,0.91,0.84
flylinkdc.csv,0.08,1.0,0.98,0.91,0.62,0.65,0.88,0.6,0.76,0.66,0.72,0.84
free-evolution.csv,0.62,0.77,0.74,1.0,0.71,0.76,0.83,0.67,0.89,0.88,0.21,0.81
fw4spl.csv,0.85,0.99,0.73,0.96,0.85,0.1,0.62,0.83,1.11,0.85,0.79,0.79
ipfire-wall.csv,0.8,0.5,0.91,0.72,0.83,0.77,0.84,0.06,0.73,0.8,0.86,0.88
ldview.csv,0.69,0.73,0.89,0.86,0.05,0.58,0.81,0.56,0.91,0.82,0.81,0.84
nuttx.csv,0.71,1.0,0.03,0.59,0.87,0.91,0.85,0.86,0.83,0.91,0.93,0.84
uclmda.csv,0.68,0.87,0.71,1.0,0.78,0.86,0.44,0.87,0.0,0.69,0.78,0.73
vdsf.csv,0.95,0.15,1.0,0.87,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0
xcf.csv,0.82,1.0,1.0,0.48,0.8,0.66,0.82,0.69,1.05,0.84,0.57,0.07
