,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.88,0.89,0.91,0.93,0.75,0.6,0.98,0.86,1.0,0.76,0.87
gstreamer.csv,0.65,0.57,0.88,0.6,0.54,0.5,0.42,0.5,0.67,0.95,0.61
ktc.csv,0.96,0.47,0.4,0.4,0.36,0.1,0.28,0.5,0.4,0.25,0.22
mbse.csv,0.56,0.52,0.94,0.4,0.55,0.8,0.65,0.64,0.53,0.44,0.65
nebuladevice.csv,0.29,0.12,0.08,0.12,0.15,0.1,0.04,0.0,0.93,0.08,0.26
neoengine.csv,0.68,0.98,0.38,0.67,0.67,0.7,0.58,0.5,0.73,0.66,0.52
openmalaria.csv,0.82,0.7,0.85,0.98,0.72,0.5,0.64,0.75,0.73,0.77,0.7
rtrt-on-gpu.csv,0.56,0.55,0.88,0.43,0.43,1.0,0.75,0.82,0.8,0.61,0.61
salasaga.csv,0.71,0.59,0.45,0.76,0.61,0.8,0.77,0.93,0.87,0.59,0.65
skia.csv,0.37,0.44,0.54,0.14,0.28,0.5,0.44,0.25,0.47,0.19,1.0
xemeiah.csv,0.65,0.68,0.75,0.36,0.96,0.2,0.48,0.57,0.47,0.61,0.74
