,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.82,0.78,0.84,0.59,0.76,0.83,0.2,0.58,0.86,0.66,0.78
gstreamer.csv,0.32,0.41,0.59,0.22,0.45,0.52,0.24,0.31,0.41,0.0,0.46
ktc.csv,0.0,0.16,0.14,0.18,0.08,0.02,0.04,0.2,0.24,0.08,0.17
mbse.csv,0.51,0.33,0.02,0.35,0.44,0.21,0.64,0.6,0.61,0.49,0.35
nebuladevice.csv,0.18,0.12,0.01,0.33,0.05,0.4,0.0,0.0,0.0,0.01,0.09
neoengine.csv,0.58,0.01,0.31,0.65,0.56,0.69,0.28,0.27,0.41,0.5,0.43
openmalaria.csv,0.51,0.41,0.57,0.02,0.56,0.46,0.16,0.39,0.62,0.43,0.48
rtrt-on-gpu.csv,0.35,0.6,0.66,0.65,0.37,0.04,0.84,0.82,0.68,0.63,0.37
salasaga.csv,0.75,0.72,0.41,0.84,0.77,0.75,0.84,0.0,0.89,0.75,0.65
skia.csv,0.19,0.31,0.35,0.24,0.09,0.23,0.64,0.12,0.35,0.17,0.0
xemeiah.csv,0.18,0.46,0.53,0.12,0.01,0.17,0.56,0.26,0.44,0.38,0.41
