,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.38,0.41,0.38,0.39,0.39,0.39,0.4,0.44,0.32,0.38,0.36
gstreamer.csv,0.47,0.55,0.37,0.53,0.52,0.53,0.61,0.44,0.46,0.45,0.4
ktc.csv,0.5,0.51,0.74,0.65,0.67,0.5,0.57,0.5,0.57,0.79,0.69
mbse.csv,0.58,0.54,0.75,0.66,0.55,0.72,0.54,0.62,0.47,0.63,0.58
nebuladevice.csv,0.83,0.97,0.83,0.95,0.93,0.75,0.75,0.0,0.93,0.94,0.9
neoengine.csv,0.47,0.58,0.66,0.56,0.62,0.55,0.5,0.45,0.5,0.47,0.53
openmalaria.csv,0.4,0.37,0.36,0.5,0.39,0.44,0.36,0.41,0.36,0.34,0.39
rtrt-on-gpu.csv,0.54,0.62,0.38,0.67,0.69,0.92,0.49,0.54,0.4,0.5,0.61
salasaga.csv,0.46,0.61,0.54,0.47,0.61,0.52,0.51,0.92,0.34,0.56,0.53
skia.csv,0.69,0.68,0.47,0.94,0.81,0.56,0.66,0.77,0.62,0.93,0.61
xemeiah.csv,0.44,0.4,0.35,0.76,0.58,0.5,0.49,0.39,0.45,0.35,0.39
