,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.57,0.56,0.41,0.7,0.57,0.21,0.97,0.34,0.33,0.68,0.51
gstreamer.csv,0.61,0.51,0.48,0.64,0.52,0.25,0.57,0.31,0.37,0.98,0.48
ktc.csv,0.98,0.55,0.44,0.5,0.49,0.17,0.44,0.38,0.32,0.39,0.28
mbse.csv,0.48,0.5,0.94,0.44,0.54,0.57,0.72,0.26,0.24,0.49,0.56
nebuladevice.csv,0.37,0.19,0.14,0.16,0.25,0.07,0.08,0.0,0.97,0.15,0.36
neoengine.csv,0.53,0.98,0.33,0.54,0.58,0.28,0.7,0.33,0.4,0.65,0.44
openmalaria.csv,0.64,0.59,0.47,0.98,0.6,0.27,0.76,0.38,0.31,0.74,0.52
rtrt-on-gpu.csv,0.54,0.44,0.45,0.39,0.46,0.91,0.77,0.26,0.32,0.59,0.52
salasaga.csv,0.5,0.42,0.33,0.55,0.49,0.3,0.78,0.96,0.29,0.55,0.44
skia.csv,0.44,0.45,0.41,0.2,0.41,0.38,0.55,0.26,0.3,0.29,1.0
xemeiah.csv,0.68,0.55,0.45,0.48,0.97,0.2,0.59,0.38,0.26,0.64,0.58
