,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.0,61.0,25.0,4.0,0.0,2.0,0.0,0.0,94.0,31.0,6.0,0.0,0.0
emono.csv,5.0,1.0,51.0,4.0,0.0,0.0,0.0,1.0,145.0,34.0,19.0,2.0,0.0
freedom-erp.csv,2.0,7.0,2.0,2.0,2.0,68.0,225.0,0.0,224.0,6.0,4.0,71.0,121.0
haggle.csv,2.0,0.0,21.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,9.0,0.0,2.0
jbpm.csv,3.0,1.0,133.0,0.0,0.0,68.0,0.0,2.0,224.0,10.0,56.0,1.0,121.0
jgossipforum.csv,9.0,10.0,133.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,4.0,2.0,1.0
joustsim.csv,3.0,1.0,36.0,2.0,0.0,2.0,0.0,17.0,30.0,0.0,17.0,11.0,3.0
log4net.csv,1.0,13.0,4.0,2.0,0.0,0.0,2.0,2.0,224.0,4.0,4.0,0.0,0.0
madman.csv,8.0,38.0,12.0,21.0,2.0,1.0,1.0,0.0,95.0,2.0,2.0,1.0,0.0
mediate.csv,15.0,1.0,43.0,10.0,0.0,3.0,0.0,2.0,90.0,5.0,7.0,6.0,0.0
pustefix.csv,2.0,9.0,27.0,0.0,0.0,0.0,0.0,2.0,35.0,1.0,20.0,0.0,0.0
synecdoche.csv,0.0,29.0,10.0,1.0,2.0,0.0,0.0,0.0,74.0,24.0,22.0,0.0,0.0
tmva.csv,0.0,17.0,25.0,3.0,3.0,0.0,1.0,1.0,114.0,31.0,13.0,0.0,0.0
