,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.42,0.86,0.52,0.57,0.43,0.47,0.57,0.56,0.44,0.76,0.48,0.35,0.52,0.5,0.55,0.42
betoffice.csv,0.75,0.89,0.67,0.9,0.92,0.86,0.88,0.6,0.99,0.94,0.0,0.93,0.88,0.94,0.91,0.67
bionote.csv,0.5,0.0,0.78,0.67,0.89,0.0,0.5,0.0,0.98,0.67,0.0,0.5,0.88,0.9,0.5,0.5
bnetd.csv,0.39,0.32,0.55,0.39,0.51,0.38,0.79,0.48,0.59,0.53,0.49,0.42,0.44,0.49,0.46,0.31
elvishrayrenderer.csv,0.38,0.43,0.65,0.4,0.45,0.34,0.58,0.47,0.45,0.59,0.82,0.36,0.42,0.45,0.53,0.44
emisview.csv,0.83,0.0,0.89,0.76,0.91,0.65,0.76,0.88,0.84,0.75,0.6,0.92,0.92,0.96,0.64,0.67
hazelcast.csv,0.3,0.32,0.41,0.32,0.35,0.3,0.36,0.34,0.33,0.37,0.35,0.3,0.37,0.34,0.38,0.3
jitterbit.csv,0.48,0.41,0.58,0.68,0.63,0.55,0.92,0.92,0.73,0.61,0.62,0.74,0.63,0.67,0.66,0.5
jppf-project.csv,0.34,0.39,0.57,0.4,0.4,0.34,0.4,0.47,0.41,0.5,0.42,0.35,0.36,0.41,0.44,0.37
l2j.csv,0.33,0.33,0.75,0.36,0.34,0.29,0.39,0.39,0.4,0.4,0.38,0.33,0.37,0.45,0.36,0.33
megasquirtavr.csv,0.33,0.39,0.8,0.4,0.37,0.3,0.4,0.38,0.37,0.5,0.42,0.32,0.37,0.39,0.42,0.37
stajistics.csv,0.59,0.62,0.62,0.53,0.65,0.9,0.83,0.93,0.91,0.91,0.9,0.49,0.77,0.66,0.66,0.5
trackit.csv,0.54,0.34,0.75,0.67,0.59,0.86,0.52,0.94,0.72,0.92,0.93,0.88,0.94,0.79,0.67,0.5
wxlua.csv,0.34,0.41,0.53,0.39,0.41,0.3,0.39,0.39,0.37,0.52,0.43,0.32,0.4,0.39,0.44,0.35
x4x.csv,0.4,0.33,0.69,0.42,0.46,0.52,0.51,0.62,0.48,0.67,0.42,0.45,0.39,0.42,0.55,0.36
xharbour.csv,0.35,0.38,0.57,0.53,0.42,0.37,0.39,0.38,0.41,0.6,0.47,0.41,0.39,0.44,0.45,0.46
