,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,ingex.csv,power-architect.csv,javaprofiler.csv
apertium.csv,0.42,0.62,0.59,0.31,0.78,0.53,0.61,1.0,0.19,0.65,0.58,0.25,0.71,0.36,0.9,0.8,0.81,0.64
beast-mcmc.csv,0.53,0.4,0.53,0.28,0.64,0.56,0.58,0.38,0.18,0.65,0.25,0.29,0.59,0.33,0.56,0.43,0.76,0.87
cuberok.csv,0.5,0.36,0.5,0.21,0.65,0.53,0.56,0.58,0.29,0.65,0.29,0.22,0.59,0.36,0.5,0.26,0.79,0.74
exist.csv,0.32,0.33,0.55,0.29,0.76,0.51,0.53,0.43,0.18,0.48,0.22,0.34,0.8,0.35,0.55,0.37,0.85,0.64
ingex.csv,0.34,0.3,0.55,0.19,0.71,0.52,0.53,0.31,0.18,0.5,0.5,0.41,0.6,0.35,0.65,0.62,0.71,0.86
javaprofiler.csv,0.33,0.37,0.51,0.19,0.66,0.53,0.52,0.4,0.16,0.62,0.33,0.29,0.56,0.32,0.54,0.26,0.77,0.87
jbasic.csv,0.32,0.4,0.46,0.2,0.69,0.52,0.54,0.52,0.17,0.67,0.31,0.3,0.58,0.33,0.43,0.4,0.78,0.67
jgnash.csv,0.28,0.49,0.54,0.31,0.64,0.52,0.56,0.34,0.36,0.6,0.36,0.36,0.65,0.39,0.57,0.45,0.7,0.94
jrefactory.csv,0.21,0.26,0.7,0.17,0.55,0.42,0.49,0.37,0.12,0.46,0.29,0.34,0.79,0.41,0.54,0.36,0.86,0.67
jsecurity.csv,0.43,0.6,0.5,0.42,0.77,0.55,0.61,0.3,0.15,0.67,0.16,0.3,0.69,0.32,0.62,0.5,0.93,0.74
libopenmetaverse.csv,0.27,0.33,0.58,0.19,0.65,0.68,0.51,0.35,0.15,0.49,0.36,0.32,0.57,0.31,0.54,0.38,0.77,0.68
mobicents.csv,0.4,0.42,0.57,0.37,0.88,0.44,0.7,0.43,0.23,0.57,0.42,0.3,0.61,0.39,0.57,0.38,0.81,0.74
mp-rechnungs-und-kundenverwaltung.csv,0.27,0.41,0.49,0.17,0.74,0.71,0.61,0.53,0.15,0.5,0.42,0.8,0.62,0.42,0.67,0.55,0.83,0.74
openefm.csv,0.31,0.55,0.52,0.19,0.71,0.59,0.54,0.42,0.18,0.71,0.37,0.18,0.59,0.35,0.63,0.38,1.0,0.65
power-architect.csv,0.33,0.4,0.57,0.22,0.65,0.5,0.52,0.39,0.15,0.44,0.29,0.3,0.57,0.35,0.55,0.37,0.94,0.7
sidekar.csv,0.0,0.44,0.0,0.0,0.87,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
wheat.csv,0.32,0.38,0.37,0.25,0.73,0.4,0.55,0.48,0.18,0.6,0.38,0.44,0.59,0.35,0.71,0.42,0.89,0.66
yarp0.csv,0.25,0.33,0.53,0.2,0.69,0.51,0.64,0.33,0.26,0.47,0.48,0.53,0.64,0.35,0.6,0.4,0.74,0.67
