,f1,g,recall,precision,pf,wins
calcubetimer.csv,0.39,0.48,0.485,0.42000000000000004,0.39,2
chaperon.csv,0.41500000000000004,0.39,0.35,0.485,0.255,1
geotools.csv,0.525,0.53,0.8400000000000001,0.51,0.73,7
l2j.csv,0.365,0.405,0.525,0.55,0.405,3
mule.csv,0.385,0.41000000000000003,0.38,0.485,0.22,4
nunit.csv,0.495,0.44,0.395,0.5900000000000001,0.275,5
primefaces.csv,0.55,0.55,0.75,0.385,0.59,6
springside.csv,0.615,0.635,0.765,0.605,0.35,9
swtfox.csv,0.44999999999999996,0.435,0.4,0.525,0.435,0
twostep.csv,0.55,0.595,0.685,0.525,0.56,8
