,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.64,0.96,0.98,0.78,0.14,0.52,0.63,0.81,0.74,0.6
chaperon.csv,0.74,0.78,0.71,0.1,1.01,0.65,0.8,0.88,0.52,0.62
geotools.csv,0.79,0.89,0.93,0.65,1.0,0.4,0.5,0.77,0.69,0.77
l2j.csv,0.6,0.79,0.74,0.56,0.81,0.7,0.77,0.97,0.43,0.6
mule.csv,0.5,0.96,0.85,0.77,0.48,0.45,0.67,0.73,0.83,0.55
nunit.csv,0.65,0.6,0.86,0.59,0.88,0.48,0.69,0.68,0.69,0.4
primefaces.csv,0.9,0.7,1.0,0.56,0.66,0.85,0.63,0.31,0.66,0.72
springside.csv,0.68,0.34,0.86,0.75,0.47,0.31,0.65,0.81,0.61,0.38
swtfox.csv,0.84,0.8,0.48,0.53,0.98,0.58,0.79,0.81,0.75,0.76
twostep.csv,0.81,0.63,0.69,0.74,0.45,0.23,0.68,0.63,0.61,0.64
