,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.41,0.04,0.48,0.25,0.86,0.88,0.49,0.3,0.54,0.55
chaperon.csv,0.32,0.27,0.42,1.0,0.32,0.38,0.24,0.12,0.54,0.48
geotools.csv,0.92,0.94,0.92,0.5,1.0,0.88,0.6,0.8,0.35,0.75
l2j.csv,0.73,0.45,0.28,0.75,0.23,0.31,0.32,0.9,0.74,0.6
mule.csv,0.72,0.04,0.18,0.25,0.52,0.65,0.46,0.3,0.17,0.62
nunit.csv,0.37,0.41,0.28,0.5,0.16,0.62,0.38,0.68,0.36,0.7
primefaces.csv,0.88,0.8,1.0,0.75,0.57,0.92,0.73,0.75,0.46,0.62
springside.csv,0.83,0.78,0.25,0.75,0.61,0.85,0.86,0.78,0.41,0.7
swtfox.csv,0.21,0.82,0.57,0.5,0.38,0.42,0.38,0.38,0.35,0.6
twostep.csv,0.9,0.88,0.62,0.5,0.62,0.81,0.75,0.42,0.53,0.82
