,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv,twostep.csv,geotools.csv,primefaces.csv,l2j.csv,nunit.csv
calcubetimer.csv,0.49,0.83,0.36,0.58,0.44,0.33,0.42,0.48,0.41,0.51
chaperon.csv,0.76,0.87,0.66,0.89,0.71,0.58,0.81,0.86,0.6,0.6
geotools.csv,0.35,0.48,0.36,0.5,0.42,0.38,0.47,0.35,0.52,0.36
l2j.csv,0.44,0.72,0.81,0.67,0.64,0.83,0.59,0.35,0.5,0.45
mule.csv,0.4,0.8,0.76,0.6,0.38,0.4,0.45,0.72,0.89,0.47
nunit.csv,0.58,0.68,0.49,0.59,0.9,0.45,0.54,0.35,0.51,0.62
primefaces.csv,0.38,0.51,0.36,0.41,0.38,0.4,0.36,0.43,0.48,0.36
springside.csv,0.36,0.47,0.47,0.41,0.37,0.35,0.35,0.31,0.53,0.59
swtfox.csv,0.88,0.55,0.81,0.8,0.75,0.73,0.71,0.66,0.65,0.5
twostep.csv,0.37,0.49,0.43,0.43,0.36,0.44,0.41,0.54,0.45,0.4
