,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.92,0.75,0.73,0.8,0.92,0.88,0.83,0.75,0.67,0.0
flylegacy.csv,0.42,0.47,0.5,0.53,0.57,0.44,0.48,0.55,0.56,0.86
jguard.csv,0.39,0.7,0.32,0.37,0.32,0.63,0.38,0.33,0.41,0.45
m-a-d-n-e-s-s.csv,0.88,0.0,0.76,0.98,0.75,0.67,0.0,0.67,0.48,0.67
mob-sen-plat.csv,0.34,0.37,0.33,0.35,0.28,0.36,0.36,0.31,0.38,0.39
raygina.csv,0.48,0.5,0.45,0.44,0.95,0.48,0.94,0.73,0.92,0.55
st-filteredstatistics.csv,0.36,0.58,0.33,0.34,0.33,0.53,0.39,0.35,0.4,0.46
upp-mirror.csv,0.52,0.83,0.32,0.55,0.38,0.72,0.43,0.69,0.56,0.52
wishmaster.csv,0.85,0.88,0.47,0.61,0.37,0.44,0.67,0.88,0.62,0.55
yarp.csv,0.8,0.67,0.85,0.98,0.8,0.54,0.89,0.86,0.79,0.6
