,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.28,0.11,0.36,0.62,0.11,0.12,0.0,0.06,0.1,0.0
flylegacy.csv,0.64,0.54,0.58,0.55,0.46,0.36,0.56,0.47,0.4,0.1
jguard.csv,0.58,0.32,0.67,0.66,0.7,0.67,0.58,0.75,0.57,0.48
m-a-d-n-e-s-s.csv,0.24,0.04,0.33,0.28,0.06,0.0,0.0,0.1,0.77,0.05
mob-sen-plat.csv,0.52,0.83,0.44,0.54,0.58,0.5,0.61,0.76,0.67,0.56
raygina.csv,0.72,0.0,0.54,0.54,0.2,0.34,0.33,0.3,0.19,0.44
st-filteredstatistics.csv,0.09,0.46,0.0,0.44,0.6,0.56,0.0,0.8,0.3,0.0
upp-mirror.csv,0.45,0.15,0.47,0.6,0.63,0.46,0.46,0.31,0.65,0.44
wishmaster.csv,0.24,0.14,0.46,0.4,0.56,0.37,0.6,0.12,0.56,0.44
yarp.csv,0.15,0.07,0.29,0.04,0.06,0.39,0.09,0.18,0.48,0.64
