,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.07,0.74,0.19,0.12,0.05,0.15,0.64,0.52,0.48,0.73,0.36,0.14,0.86,0.67
continuum-ide.csv,0.0,0.42,0.1,0.0,0.67,0.14,0.48,0.62,0.43,0.0,0.28,0.17,0.26,0.49
free-evolution.csv,0.1,0.49,0.12,0.17,0.0,0.25,0.81,0.42,0.45,0.58,0.41,0.15,0.73,0.75
gtad.csv,0.22,0.25,0.24,0.1,0.09,0.31,0.54,0.33,0.31,0.35,0.29,0.0,0.39,0.33
jaxen.csv,0.06,0.83,0.14,0.38,0.04,0.56,0.71,0.39,0.49,0.41,0.35,0.15,0.9,0.66
jruby.csv,0.2,0.22,0.11,0.05,0.0,0.23,0.72,0.26,0.0,0.47,0.26,0.08,0.83,0.74
jsr308-langtools.csv,0.08,0.83,0.13,0.22,0.03,0.11,0.93,0.49,0.43,0.46,0.42,0.13,0.87,0.56
kaffeine.csv,0.06,0.9,0.17,0.04,0.06,0.15,0.75,0.52,0.57,0.45,0.39,0.13,0.54,0.7
oorexx.csv,0.0,0.68,0.19,0.29,0.05,0.0,0.45,0.08,0.44,0.51,0.36,0.12,0.37,0.69
qedo.csv,0.0,0.54,0.05,0.0,0.0,0.0,0.23,0.48,0.35,0.16,0.3,0.4,0.08,0.47
sarasvati.csv,0.07,0.22,0.3,0.0,0.12,0.11,0.7,0.38,0.36,0.39,0.32,0.07,0.48,0.15
taokgame.csv,0.13,0.19,0.05,0.74,0.0,0.11,0.33,0.23,0.47,0.21,0.27,0.0,0.12,0.38
zabbix.csv,0.08,0.68,0.14,0.12,0.0,0.11,0.6,0.18,0.53,0.16,0.34,0.02,0.63,0.53
