,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.76,0.41,0.66,0.94,0.59,0.56,0.51,0.82,0.68,0.25,0.64,0.72,0.81,0.64
continuum-ide.csv,1.06,1.21,0.91,1.01,0.02,0.81,0.79,0.39,0.69,1.0,0.76,0.65,0.86,0.94
free-evolution.csv,0.52,0.67,0.69,0.79,1.15,0.45,0.65,0.94,0.69,0.54,0.57,0.68,0.65,0.96
gtad.csv,0.2,0.86,0.57,0.91,0.34,0.6,0.63,0.73,0.82,0.74,0.77,1.03,0.76,0.79
jaxen.csv,0.85,1.01,0.62,0.37,0.89,0.1,0.77,0.87,0.63,0.85,0.67,0.73,0.85,0.8
jruby.csv,0.51,0.88,0.74,0.97,1.29,0.46,0.72,0.89,1.0,0.73,0.82,0.93,0.44,0.92
jsr308-langtools.csv,0.66,0.58,0.86,0.77,1.0,0.95,0.12,0.9,0.88,1.0,0.76,0.74,0.9,0.59
kaffeine.csv,0.96,0.19,0.54,1.02,0.54,0.58,1.0,0.82,0.99,0.59,0.66,0.76,0.83,0.68
oorexx.csv,1.0,0.49,0.52,0.51,0.67,1.0,0.7,0.96,0.74,0.54,0.64,0.79,0.85,0.46
qedo.csv,1.03,1.06,0.92,1.02,1.01,1.01,0.95,0.56,0.76,0.9,0.78,0.28,0.97,0.73
sarasvati.csv,0.62,0.88,0.32,1.04,0.25,0.83,0.44,0.69,0.96,0.66,0.74,0.89,0.79,0.92
taokgame.csv,0.53,0.9,0.93,0.09,1.08,0.82,0.82,0.84,0.64,0.85,0.82,1.04,0.94,0.75
zabbix.csv,0.65,0.49,0.67,0.83,1.06,0.69,0.56,0.89,0.58,1.02,0.66,1.07,0.67,0.63
