,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.61,0.64,0.41,0.39,0.78,0.71,0.55,0.52,0.55,0.82,0.53,0.46,0.52,0.62
continuum-ide.csv,0.0,0.0,0.11,0.0,1.0,0.24,0.43,0.74,0.37,0.0,0.43,0.57,0.18,0.38
free-evolution.csv,0.82,0.38,0.47,0.51,0.0,0.63,0.72,0.29,0.36,0.77,0.57,0.47,0.59,0.17
gtad.csv,0.95,0.17,0.5,0.12,0.91,0.45,0.42,0.39,0.22,0.31,0.28,0.0,0.29,0.26
jaxen.csv,0.47,0.0,0.61,0.84,0.38,0.98,0.57,0.45,0.43,0.48,0.56,0.56,0.47,0.53
jruby.csv,0.55,0.15,0.39,0.12,0.0,0.63,0.61,0.36,0.0,0.6,0.21,0.35,0.72,0.3
jsr308-langtools.csv,0.72,0.69,0.43,0.57,0.0,0.21,0.92,0.36,0.44,0.0,0.58,0.39,0.37,0.48
kaffeine.csv,0.17,0.85,0.68,0.12,0.81,0.69,0.0,0.52,0.05,0.53,0.61,0.48,0.4,0.63
oorexx.csv,0.0,0.57,0.74,0.61,0.71,0.0,0.35,0.07,0.5,0.54,0.55,0.31,0.27,0.64
qedo.csv,0.0,0.25,0.11,0.0,0.0,0.0,0.2,0.6,0.33,0.17,0.49,0.81,0.05,0.42
sarasvati.csv,0.52,0.15,0.8,0.0,0.94,0.5,0.65,0.49,0.37,0.45,0.31,0.26,0.36,0.1
taokgame.csv,0.54,0.12,0.11,0.98,0.0,0.24,0.27,0.21,0.43,0.21,0.21,0.0,0.07,0.29
zabbix.csv,0.73,0.57,0.62,0.33,0.0,0.43,0.54,0.15,0.48,0.24,0.48,0.11,0.5,0.46
