,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.66,0.67,0.54,0.21,0.57,0.48,0.55,0.89,0.71,0.78,0.39,0.84,0.6,0.7
encog-cs.csv,0.83,0.5,0.39,0.86,0.94,0.92,0.91,1.0,0.35,0.16,0.91,0.84,0.71,0.84
extprosys.csv,0.7,1.0,0.25,0.71,0.91,0.77,0.55,0.89,0.52,0.92,0.39,0.68,0.89,0.79
ibatisdb.csv,0.06,0.17,0.55,0.21,0.36,0.21,0.09,0.22,0.33,0.37,0.27,0.19,0.04,0.15
intact.csv,0.58,0.83,0.66,0.79,0.6,0.33,0.36,0.22,0.5,0.92,0.75,0.35,0.65,0.5
japano.csv,0.77,1.0,0.69,0.93,0.71,0.77,1.0,0.0,0.94,0.79,0.94,0.89,0.91,0.72
lockss.csv,0.26,0.0,0.07,0.0,0.17,0.08,0.0,0.44,0.08,0.3,0.23,0.24,0.25,0.23
ofbiz.csv,0.54,0.5,0.62,0.5,0.44,0.67,0.45,0.22,0.44,0.29,0.69,0.22,0.37,0.44
officefloor.csv,0.55,0.0,0.31,0.43,0.22,0.22,0.0,0.78,0.37,0.28,0.28,0.14,0.13,0.53
opennms.csv,0.35,0.83,0.07,0.14,0.26,0.08,0.73,0.0,0.22,0.29,0.09,0.3,0.39,0.05
rohxel.csv,0.46,1.0,0.98,0.07,0.36,0.21,0.36,0.56,0.51,0.39,0.48,0.32,0.37,0.51
roolo.csv,0.68,0.67,0.91,0.86,0.79,0.77,0.45,0.56,0.64,0.65,0.91,0.27,0.74,0.72
sevenupdate.csv,1.0,0.0,1.0,1.0,0.94,1.0,1.0,1.0,0.93,0.64,0.99,1.0,0.91,1.0
