,unladen-swallow.csv,flylegacy.csv,gotjava.csv,novembre.csv,k3d.csv,qtwin.csv,empserver.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,acdk.csv,galaxium.csv,auber.csv,cortex-vfx.csv,duplicati.csv,linux-ntfs.csv,growl-for-windows.csv,tweetsharp.csv,libarchive.csv
acdk.csv,0.46,0.55,1.05,0.52,0.75,0.32,0.68,0.88,0.83,0.41,0.31,0.6,0.63,0.69,0.76,0.61,0.84,0.49,0.53
auber.csv,1.0,0.84,1.0,0.59,0.87,1.0,0.64,0.87,0.92,0.8,1.04,0.71,0.34,0.58,1.0,0.88,0.8,0.59,0.61
cortex-vfx.csv,0.46,0.59,1.14,0.6,0.53,0.31,0.79,0.8,0.69,0.58,0.77,0.61,0.54,0.53,0.76,0.6,0.84,0.64,0.59
empserver.csv,0.58,0.74,0.98,0.56,0.7,0.52,0.47,0.9,0.83,0.67,0.59,0.69,0.7,0.82,0.84,0.9,0.8,0.7,0.61
flylegacy.csv,0.54,0.43,1.34,0.56,0.55,0.23,0.78,0.79,0.65,0.9,0.38,0.81,0.54,0.51,1.08,0.77,0.51,0.75,0.65
galaxium.csv,0.43,0.63,1.06,0.61,0.75,0.35,0.75,0.66,0.45,0.44,0.35,0.23,0.57,0.54,0.48,0.62,0.74,0.85,0.57
growl-for-windows.csv,1.0,1.0,1.0,0.81,1.0,1.0,1.0,0.66,0.63,0.88,1.0,0.92,0.9,1.0,1.0,0.89,0.28,0.8,0.96
k3d.csv,0.8,0.83,1.0,0.72,0.26,0.84,0.75,0.71,0.99,0.81,1.0,0.67,0.67,0.85,0.86,0.79,1.0,0.84,0.56
libarchive.csv,0.45,0.65,0.5,0.69,0.66,0.41,0.73,0.64,0.54,0.46,0.39,0.39,0.66,0.55,0.21,0.8,0.75,0.78,0.43
linux-ntfs.csv,0.49,0.7,0.75,0.7,0.84,0.84,0.72,0.82,0.87,0.94,0.73,0.71,0.6,0.73,1.02,0.49,0.98,0.76,0.55
m-a-d-n-e-s-s.csv,0.46,0.6,0.62,0.61,0.82,0.24,0.84,1.0,0.92,0.33,0.53,0.61,0.7,0.61,0.79,0.56,0.88,0.9,0.53
novembre.csv,0.44,0.51,1.06,0.51,0.84,0.22,0.72,1.0,0.83,0.8,0.45,0.86,0.81,0.86,0.79,0.56,0.87,0.72,0.69
qtwin.csv,0.94,0.93,1.0,0.87,0.77,0.09,1.0,0.93,0.9,0.88,0.86,0.95,0.69,0.65,0.88,0.69,0.95,0.99,1.0
st-filteredstatistics.csv,0.78,1.0,0.99,0.97,0.96,0.66,0.65,0.92,0.29,0.9,0.86,0.86,0.47,0.99,1.0,0.83,0.95,0.69,0.48
tweetsharp.csv,0.86,0.86,1.07,0.74,0.61,0.93,0.89,0.94,1.0,0.72,0.91,0.76,0.79,0.58,1.03,0.94,0.68,0.33,0.98
unladen-swallow.csv,0.59,0.72,1.0,0.68,0.76,0.55,0.8,0.72,0.66,0.77,0.52,0.58,0.88,0.64,0.83,0.92,0.75,0.81,0.56
wishmaster.csv,0.74,0.81,0.2,0.87,0.98,0.38,0.78,0.34,0.93,0.51,0.45,0.81,0.88,0.73,0.57,0.88,0.71,0.96,0.88
