,unladen-swallow.csv,flylegacy.csv,gotjava.csv,novembre.csv,k3d.csv,qtwin.csv,empserver.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,acdk.csv,galaxium.csv,auber.csv,cortex-vfx.csv,duplicati.csv,linux-ntfs.csv,growl-for-windows.csv,tweetsharp.csv,libarchive.csv
acdk.csv,0.43,0.37,0.8,0.53,0.83,0.61,0.71,0.79,0.89,0.49,0.43,0.68,0.57,0.47,0.71,0.37,0.75,0.46,0.57
auber.csv,0.48,0.43,0.34,0.39,0.39,0.47,0.66,0.46,0.29,0.48,0.47,0.48,0.47,0.52,0.33,0.4,0.59,0.41,0.56
cortex-vfx.csv,0.49,0.58,0.52,0.56,0.69,0.67,0.92,0.77,0.44,0.57,0.91,0.67,0.54,0.67,0.71,0.39,0.75,0.44,0.61
empserver.csv,0.44,0.33,0.35,0.45,0.64,0.59,0.58,0.54,0.82,0.43,0.44,0.68,0.44,0.42,0.89,0.38,0.62,0.42,0.48
flylegacy.csv,0.53,0.38,0.37,0.39,0.76,0.75,0.89,0.37,0.36,0.41,0.55,0.59,0.46,0.56,0.46,0.39,0.79,0.41,0.74
galaxium.csv,0.41,0.32,0.51,0.36,0.51,0.48,0.59,0.36,0.37,0.46,0.46,0.46,0.47,0.43,0.37,0.33,0.54,0.47,0.54
growl-for-windows.csv,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.39,0.33,0.67,0.0,0.89,0.91,0.0,0.35,0.75,0.61,0.4,0.5
k3d.csv,0.91,0.94,0.8,0.45,0.75,1.0,0.35,0.54,0.91,0.92,0.0,0.72,0.61,0.97,0.88,0.53,0.0,0.89,0.49
libarchive.csv,0.38,0.32,0.45,0.35,0.37,0.46,0.32,0.35,0.38,0.41,0.39,0.39,0.41,0.39,0.33,0.32,0.36,0.37,0.47
linux-ntfs.csv,0.44,0.41,0.37,0.38,0.44,0.99,0.54,0.45,0.29,0.41,0.46,0.46,0.55,0.74,0.36,0.52,0.35,0.38,0.47
m-a-d-n-e-s-s.csv,0.45,0.4,0.4,0.63,0.76,0.67,0.38,0.0,0.67,0.55,0.56,0.86,0.68,0.92,0.75,0.5,0.73,0.8,0.45
novembre.csv,0.44,0.42,0.61,0.56,0.68,0.83,0.44,0.0,0.89,0.8,0.44,0.91,0.93,0.98,0.83,0.43,0.86,0.5,0.44
qtwin.csv,0.99,0.86,0.96,0.5,0.95,1.0,0.0,0.75,0.88,0.8,0.98,0.88,0.72,0.46,0.86,0.53,0.67,0.67,0.0
st-filteredstatistics.csv,0.47,0.34,0.34,0.35,0.41,0.53,0.45,0.39,0.34,0.39,0.43,0.38,0.47,0.42,0.33,0.38,0.44,0.35,0.46
tweetsharp.csv,0.62,0.9,0.83,0.48,0.64,0.57,0.86,0.39,0.31,0.53,0.74,0.41,0.52,0.42,0.4,0.92,0.58,0.47,0.86
unladen-swallow.csv,0.57,0.59,0.98,0.36,0.58,0.54,0.34,0.4,0.5,0.57,0.48,0.49,0.88,0.5,0.8,0.5,0.5,0.5,0.5
wishmaster.csv,0.79,0.49,0.79,0.59,0.67,0.6,0.62,0.56,0.86,0.67,0.47,0.63,0.94,0.65,0.56,0.67,0.38,0.75,0.86
