,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,l2j.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.92,0.73,0.99,0.52,0.93,0.49,0.89,0.94,0.89,0.84,0.62,0.64,0.74,0.91,0.91,0.79
betoffice.csv,0.63,0.93,0.75,0.89,1.02,0.87,0.97,0.64,0.9,0.88,0.88,0.89,0.93,0.74,0.87,0.71
bionote.csv,0.66,0.33,0.8,0.88,0.75,0.96,0.83,0.86,0.76,0.75,0.85,0.88,0.17,0.71,0.61,0.69
bnetd.csv,0.93,1.0,0.92,0.7,0.81,0.62,0.8,1.0,0.68,0.64,0.4,1.0,0.7,0.99,0.9,0.8
elvishrayrenderer.csv,0.67,0.78,0.95,0.52,0.38,0.35,0.9,0.94,0.77,0.77,0.72,0.81,0.46,0.72,0.47,0.32
emisview.csv,0.85,1.0,0.75,0.66,0.61,0.4,0.83,0.85,0.5,1.0,0.6,0.88,0.46,0.85,0.57,1.0
hazelcast.csv,0.85,0.52,0.47,0.68,0.05,0.89,0.84,0.67,0.87,0.58,0.5,0.76,0.78,0.61,0.65,0.67
jitterbit.csv,1.0,0.69,0.84,0.55,0.9,0.7,0.69,0.8,0.35,0.82,0.95,0.58,0.81,0.75,0.77,0.59
jppf-project.csv,0.98,0.83,0.88,0.87,0.94,0.94,0.79,0.85,0.93,0.85,0.94,0.3,0.8,0.75,0.69,0.92
l2j.csv,0.84,0.54,0.67,0.58,0.42,0.63,0.77,0.62,0.71,0.63,0.5,0.88,0.88,0.43,0.65,0.73
megasquirtavr.csv,1.0,1.0,0.51,0.84,1.0,0.98,0.88,0.82,0.61,0.75,1.0,0.78,0.94,0.99,0.89,0.84
stajistics.csv,0.79,1.0,1.0,0.98,0.26,0.96,0.79,0.71,0.85,1.0,0.92,1.0,0.84,0.66,0.54,0.85
trackit.csv,1.01,1.0,0.94,0.88,1.07,0.84,0.61,0.91,0.7,0.88,1.02,0.98,1.0,0.99,0.96,1.01
wxlua.csv,0.8,0.92,0.88,0.9,1.0,0.86,0.78,1.0,0.64,0.63,0.97,0.87,0.73,0.83,0.83,0.82
x4x.csv,0.4,1.01,0.86,0.75,1.05,0.83,0.89,0.83,0.9,0.59,0.72,0.89,0.93,0.88,0.81,0.68
xharbour.csv,0.93,0.25,0.66,0.64,0.43,0.71,0.58,0.77,0.64,0.67,0.92,0.86,0.5,0.7,0.65,0.53
