,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,all-plasm.csv,openmsx.csv,quark.csv,pnotepad.csv,gss.csv,growl-for-windows.csv,tango-cs.csv
all-plasm.csv,0.46,0.0,0.43,0.25,0.27,0.41,0.67,0.15,0.43,0.65,0.6,0.63,0.39
gamestone.csv,0.25,0.58,0.22,0.35,0.26,0.0,0.27,0.21,0.09,0.15,0.41,0.31,0.49
gbif-providertoolkit.csv,0.6,0.09,0.33,0.44,0.49,0.36,0.34,0.55,0.22,0.75,0.61,0.73,0.4
growl-for-windows.csv,0.67,0.29,0.25,0.06,0.32,0.38,0.6,0.0,0.0,0.08,0.68,0.77,0.0
gss.csv,0.76,0.44,0.67,0.47,0.27,0.66,0.58,0.52,0.36,0.8,0.79,0.62,0.58
heekscad.csv,0.77,0.26,0.67,0.49,0.44,0.62,0.49,0.52,0.38,0.78,0.57,0.54,0.56
igarden.csv,0.67,0.25,0.52,0.55,0.37,0.71,0.6,0.35,0.51,0.66,0.58,0.36,0.48
levent.csv,0.72,0.13,0.0,0.0,0.33,0.75,0.58,0.0,0.0,0.0,0.7,0.77,0.0
openmsx.csv,0.73,0.25,0.39,0.5,0.16,0.53,0.53,0.58,0.26,0.42,0.43,0.6,0.31
pnotepad.csv,0.71,0.3,0.63,0.47,0.28,0.67,0.52,0.41,0.33,0.96,0.62,0.55,0.6
quark.csv,0.53,0.36,0.51,0.11,0.31,0.04,0.29,0.18,0.58,0.32,0.17,0.05,0.35
tango-cs.csv,0.73,0.24,0.64,0.48,0.3,0.04,0.56,0.54,0.33,0.86,0.66,0.8,0.56
xcsoar.csv,0.75,0.25,0.68,0.44,0.38,0.51,0.47,0.42,0.33,0.37,0.52,0.75,0.47
