,rhex.csv,qgo.csv,dynalloy.csv,rezilla.csv,toped.csv,ossbuild.csv,jaolt.csv,truevision.csv,jcl.csv,wxstudio.csv,quark.csv,kmess.csv
dynalloy.csv,0.51,0.6,0.95,0.34,0.76,0.33,0.42,0.56,0.66,0.49,0.52,0.61
jaolt.csv,0.53,0.68,0.51,0.19,0.69,0.37,0.97,0.68,0.68,0.56,0.75,0.59
jcl.csv,0.0,0.0,0.12,0.06,0.02,0.0,0.22,0.1,0.94,0.1,0.18,0.3
kmess.csv,0.45,0.55,0.3,0.49,0.48,0.59,0.53,0.6,0.51,0.52,0.57,0.99
ossbuild.csv,0.37,0.45,0.38,0.19,0.52,0.9,0.31,0.41,0.8,0.45,0.7,0.58
qgo.csv,0.37,0.98,0.16,0.25,0.54,0.25,0.47,0.52,0.62,0.51,0.49,0.35
quark.csv,0.0,0.09,0.1,0.0,0.05,0.0,0.01,0.19,0.34,0.13,0.93,0.01
rezilla.csv,0.38,0.44,0.5,0.96,0.61,0.36,0.46,0.67,0.43,0.67,0.39,0.26
rhex.csv,1.0,0.63,0.31,0.06,0.44,0.0,0.46,0.33,0.69,0.04,0.47,0.24
toped.csv,0.54,0.36,0.52,0.0,1.0,0.0,0.41,0.52,0.13,0.42,0.55,0.2
truevision.csv,0.37,0.59,0.54,0.36,0.56,0.41,0.69,1.0,0.74,0.48,0.36,0.63
wxstudio.csv,0.52,0.09,0.37,0.06,0.42,0.55,0.34,0.13,0.17,0.96,0.5,0.35
