,rhex.csv,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,hydrogen.csv,ossbuild.csv,quarkplayer.csv,virtuoso.csv,enzo.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv,natpad.csv
autowikibrowser.csv,0.33,0.28,0.53,0.68,0.34,0.02,0.22,0.21,0.39,0.44,0.39,0.04,0.21,0.02,0.38,0.19,0.22
dynalloy.csv,0.91,0.31,0.0,1.0,0.85,0.85,0.99,0.89,0.54,0.32,0.94,0.6,0.97,1.0,0.96,0.56,0.92
enzo.csv,0.78,0.73,0.86,0.9,0.81,0.4,0.65,0.49,0.83,0.82,0.7,0.12,0.85,0.91,0.95,0.66,0.64
hydrogen.csv,0.11,0.16,0.15,0.23,0.02,0.02,0.06,0.0,0.28,0.19,0.31,0.0,0.0,0.07,0.22,0.09,0.25
jcae.csv,0.12,0.17,0.07,0.0,0.02,0.02,0.0,0.06,0.03,0.15,0.11,0.0,0.09,0.07,0.11,0.06,0.09
kmatplot.csv,0.33,0.0,0.42,0.22,0.13,0.05,0.26,0.16,0.11,0.23,0.34,0.68,0.15,0.15,0.39,0.19,0.41
lphant.csv,0.42,0.28,0.51,0.7,0.43,0.38,0.29,0.43,0.7,0.54,0.74,0.24,0.03,0.37,0.54,0.56,0.41
natpad.csv,0.42,0.6,0.84,0.47,0.47,0.48,0.47,0.49,0.52,0.46,0.61,0.84,0.33,0.3,0.46,0.84,0.0
nosleepsoftware.csv,0.23,0.0,0.0,0.08,0.0,0.0,0.07,0.02,0.0,0.0,0.06,0.04,0.03,0.04,0.34,0.06,0.06
ossbuild.csv,0.2,0.46,0.16,0.1,0.04,0.45,0.29,0.55,0.01,0.4,0.16,0.08,0.42,0.54,0.24,0.12,0.3
quarkplayer.csv,0.59,0.11,0.29,0.25,0.38,0.08,0.46,0.2,0.09,0.0,0.34,0.36,0.27,0.41,0.57,0.06,0.64
quickfast.csv,0.57,0.55,0.48,0.73,0.38,0.18,0.24,0.29,0.98,0.44,0.56,0.92,0.91,0.76,0.64,0.0,0.98
rezilla.csv,0.79,0.69,0.96,1.0,0.83,0.0,0.57,0.59,0.87,0.84,0.67,0.96,0.79,0.7,0.91,0.66,0.8
rhex.csv,0.0,0.17,0.19,0.23,0.45,0.05,0.41,0.11,0.18,0.2,0.24,0.0,0.18,0.69,0.11,0.19,0.28
rocrail.csv,0.05,0.12,0.07,0.11,0.13,0.02,0.01,0.08,0.02,0.08,0.1,0.04,0.15,0.22,0.0,0.0,0.12
virtuoso.csv,0.43,0.92,0.95,0.87,0.98,0.7,0.9,0.71,1.0,0.9,0.01,1.0,0.91,0.93,0.88,0.47,1.0
yield.csv,0.57,0.7,0.58,0.54,0.66,0.22,0.0,0.81,0.72,0.66,0.61,0.2,0.7,0.52,0.5,0.38,0.56
