,rhex.csv,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,hydrogen.csv,ossbuild.csv,quarkplayer.csv,virtuoso.csv,enzo.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv,natpad.csv
autowikibrowser.csv,0.34,0.42,0.41,0.2,0.48,0.33,0.61,0.43,0.05,0.14,0.39,0.74,0.59,0.99,0.51,0.72,0.63
dynalloy.csv,0.24,0.41,0.97,0.19,0.44,0.46,0.63,0.26,0.12,0.18,0.38,0.92,0.58,0.59,0.35,0.79,0.55
enzo.csv,0.28,0.37,0.53,0.18,0.36,0.48,0.68,0.35,0.2,0.09,0.4,0.98,0.55,0.6,0.37,0.72,0.58
hydrogen.csv,0.38,0.44,0.17,0.31,0.38,0.1,0.24,0.97,0.06,0.05,0.41,0.24,0.43,0.37,0.6,0.36,0.64
jcae.csv,0.31,0.35,0.27,1.0,0.0,0.18,0.34,0.58,0.05,0.16,0.1,0.23,0.44,0.37,0.41,0.37,0.52
kmatplot.csv,0.3,0.96,0.24,0.14,0.37,0.09,0.36,0.27,0.27,0.0,0.38,0.62,0.14,0.35,0.32,0.23,0.4
lphant.csv,0.26,0.55,0.41,0.25,0.53,0.38,0.66,0.34,0.25,0.13,0.41,0.67,0.98,0.68,0.49,0.69,0.63
natpad.csv,0.26,0.35,0.42,0.26,0.42,0.48,0.59,0.31,0.23,0.13,0.38,0.76,0.53,0.52,0.38,0.56,0.98
nosleepsoftware.csv,0.18,0.13,0.0,0.12,0.93,0.0,0.06,0.0,0.0,0.0,0.0,0.14,0.0,0.08,0.19,0.39,0.12
ossbuild.csv,0.19,0.39,0.42,0.45,0.11,0.15,0.59,0.29,0.81,0.22,0.44,0.32,0.59,0.58,0.48,0.35,0.49
quarkplayer.csv,0.21,0.28,0.21,0.19,0.58,0.09,0.31,0.24,0.04,0.95,0.36,0.57,0.37,0.35,0.3,0.39,0.29
quickfast.csv,0.27,0.32,0.34,0.24,0.45,0.27,0.52,0.33,0.23,0.09,0.41,0.89,0.51,0.67,0.15,1.0,0.56
rezilla.csv,0.21,0.29,0.53,0.19,0.41,1.0,0.6,0.26,0.14,0.12,0.42,0.83,0.52,0.64,0.32,0.7,0.56
rhex.csv,1.0,0.43,0.34,0.26,0.55,0.09,0.38,0.5,0.05,0.05,0.45,0.23,0.25,0.58,0.41,0.44,0.33
rocrail.csv,0.12,0.48,0.27,0.2,0.31,0.1,0.29,0.55,0.0,0.0,0.35,0.25,0.31,0.49,0.95,0.26,0.5
virtuoso.csv,0.23,0.33,0.52,0.19,0.41,0.53,0.64,0.31,0.23,0.13,0.94,0.89,0.56,0.58,0.39,0.51,0.57
yield.csv,0.29,0.35,0.49,0.27,0.16,0.44,0.98,0.28,0.14,0.14,0.45,0.69,0.62,0.7,0.43,0.74,0.56
