,ktc.csv,selenium.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,pcgen.csv,autoopencas.csv,omseek.csv
autoopencas.csv,0.66,0.88,0.94,0.96,0.58,0.68,0.64,0.75,0.0,0.65,0.64,0.76,0.65
bacula.csv,0.41,0.46,0.52,0.65,0.39,0.47,0.44,0.47,0.44,0.51,0.42,0.41,0.56
elmo.csv,0.51,0.6,0.55,0.72,0.49,0.48,0.51,0.76,0.61,0.61,0.53,0.56,0.85
jajuk.csv,0.34,0.41,0.35,0.35,0.37,0.37,0.33,0.39,0.29,0.41,0.39,0.35,0.39
ktc.csv,0.4,0.52,0.37,0.46,0.39,0.5,0.4,0.67,0.35,0.55,0.5,0.42,0.49
neoengine.csv,0.59,0.44,0.51,0.46,0.38,0.5,0.4,0.46,0.4,0.79,0.41,0.47,0.44
omseek.csv,0.96,0.87,0.0,0.94,0.87,0.67,0.92,0.0,0.62,0.95,0.9,0.91,0.75
pcgen.csv,0.39,0.44,0.4,0.43,0.47,0.5,0.4,0.75,0.4,0.43,0.44,0.41,0.42
rosegarden.csv,0.38,0.47,0.45,0.46,0.38,0.54,0.39,0.79,0.42,0.53,0.4,0.4,0.47
selenium.csv,0.36,0.4,0.58,0.35,0.42,0.37,0.39,0.5,0.32,0.4,0.51,0.36,0.49
vapor.csv,0.0,0.42,0.48,0.45,0.42,0.5,0.51,0.39,0.4,0.0,0.0,0.0,0.43
zorannt.csv,0.52,0.57,0.46,0.93,0.51,0.48,0.57,0.45,0.9,0.81,0.46,0.57,0.61
zscreen.csv,0.41,0.52,0.78,0.41,0.42,0.44,0.4,0.49,0.42,0.43,0.42,0.41,0.46
