,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,ivataopenportal.csv,elynx.csv,cascading.csv,aten.csv,xcmetadataservicestoolkit.csv,lite.csv,codepurge.csv,olex2.csv,stajistics.csv,jfreechart.csv,elvishrayrenderer.csv,uwom.csv,gisgraphy.csv
cascading.csv,0.52,0.24,0.32,0.33,0.49,0.0,0.99,0.8,0.65,0.53,0.27,0.57,0.47,0.0,0.5,0.4,0.06
codepurge.csv,0.31,0.17,0.29,0.16,0.25,0.0,0.15,0.53,0.43,0.47,0.98,0.36,0.12,0.08,0.59,0.29,0.15
crisscross.csv,0.23,0.17,0.98,0.35,0.14,0.0,0.27,0.55,0.28,0.24,0.27,0.32,0.22,0.0,0.3,0.35,0.44
elvishrayrenderer.csv,0.54,0.0,0.25,0.69,0.59,0.09,0.57,0.71,0.68,0.47,0.21,0.59,0.56,0.02,0.97,0.4,0.41
gisgraphy.csv,0.28,0.14,0.14,0.48,0.26,0.0,0.3,0.46,0.26,0.22,0.0,0.17,0.37,0.0,0.49,0.39,1.0
ivataopenportal.csv,0.46,0.35,0.3,0.78,0.97,0.0,0.59,0.66,0.68,0.51,0.23,0.54,0.43,0.02,0.59,0.36,0.38
lite.csv,0.22,0.43,0.0,0.17,0.14,0.0,0.25,0.58,0.3,0.97,0.08,0.14,0.12,0.0,0.21,0.23,0.17
mb-unit.csv,0.51,0.33,0.28,1.0,0.65,0.04,0.87,0.93,0.74,0.29,0.24,0.54,0.48,0.02,0.7,0.35,0.32
nova.csv,0.54,1.0,0.39,0.62,0.41,0.05,0.62,0.86,0.74,0.42,0.28,0.62,0.52,0.03,0.61,0.4,0.44
olex2.csv,0.45,0.42,0.33,0.39,0.41,0.0,0.38,0.64,0.45,0.3,0.26,1.0,0.24,0.05,0.55,0.44,0.3
openwbem.csv,0.95,0.15,0.26,0.85,0.56,0.05,0.8,0.55,0.69,0.35,0.22,0.46,0.46,0.07,0.49,0.29,0.49
stajistics.csv,0.27,0.26,0.11,0.38,0.34,0.18,0.34,0.39,0.51,0.5,0.24,0.18,1.0,0.0,0.52,0.17,0.36
uwom.csv,0.43,0.38,0.08,0.4,0.36,0.0,0.33,0.5,0.69,0.28,0.07,0.33,0.4,0.06,0.39,0.96,0.41
xcmetadataservicestoolkit.csv,0.48,0.0,0.3,0.72,0.61,0.0,0.67,0.44,0.99,0.34,0.26,0.37,0.4,0.02,0.63,0.25,0.26
