,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.0,0.9,0.05,0.06,0.13,0.0,0.28,0.31,0.18,0.0,0.5,0.2,0.0,0.06
calcubetimer.csv,0.61,0.55,0.0,0.51,0.39,0.61,1.0,0.49,0.42,0.46,0.62,0.38,0.61,0.0
chaosrts.csv,0.61,0.52,0.09,0.4,0.51,0.66,0.65,0.66,0.49,0.53,0.56,0.99,0.24,0.09
chaperon.csv,0.18,0.0,0.22,0.0,0.37,1.0,0.29,0.0,0.0,0.14,0.1,0.11,0.06,0.14
dxengine.csv,0.29,0.07,1.0,0.41,0.32,0.55,0.41,0.17,0.62,0.42,0.25,0.28,0.31,0.34
emono.csv,0.54,0.29,0.22,0.11,0.35,0.29,0.52,0.18,0.34,0.15,0.38,0.35,0.06,1.0
factor.csv,0.0,0.0,0.0,0.17,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.02,0.98,0.06
jas.csv,0.12,0.07,0.05,0.27,0.13,0.29,0.29,0.09,0.29,1.0,0.12,0.0,0.06,0.36
jmoney.csv,0.96,0.23,0.13,0.11,0.0,0.0,0.24,0.34,0.12,0.0,0.02,0.24,0.12,0.06
jmonkeyengine.csv,0.12,0.14,0.22,0.53,0.95,0.0,0.19,0.26,0.56,0.14,0.1,0.33,0.46,0.19
matrex.csv,0.66,0.14,0.18,0.06,0.32,0.29,0.17,0.99,0.06,0.0,0.0,0.31,0.12,0.07
primefaces.csv,0.59,0.51,0.0,0.43,0.61,0.47,0.41,0.6,0.47,0.65,0.98,0.62,0.3,0.33
roolo.csv,0.35,0.15,0.05,0.31,0.2,0.29,0.24,0.18,0.92,0.14,0.34,0.15,0.2,0.0
sblim.csv,0.06,0.0,0.05,1.0,0.13,0.0,0.02,0.09,0.0,0.0,0.12,0.06,0.61,0.01
