,jmoney.csv,array4j.csv,dxengine.csv,sblim.csv,jmonkeyengine.csv,chaperon.csv,calcubetimer.csv,matrex.csv,roolo.csv,jas.csv,primefaces.csv,chaosrts.csv,factor.csv,emono.csv
array4j.csv,0.07,0.0,0.1,0.24,0.14,0.25,0.5,0.36,0.14,0.09,0.48,0.11,0.13,0.07
calcubetimer.csv,0.76,0.78,1.0,0.75,0.86,0.65,0.0,0.84,0.78,0.84,0.7,0.89,0.57,1.0
chaosrts.csv,0.73,0.59,0.98,0.63,0.8,0.56,0.5,0.67,0.78,0.66,0.67,0.0,0.61,0.98
chaperon.csv,0.24,0.0,0.16,0.01,0.3,0.0,0.25,0.0,0.19,0.15,0.04,0.16,0.13,0.14
dxengine.csv,0.1,0.13,0.0,0.15,0.12,0.06,0.5,0.11,0.27,0.21,0.41,0.26,0.09,0.19
emono.csv,0.22,0.11,0.33,0.19,0.52,0.17,0.0,0.05,0.32,0.1,0.41,0.37,0.13,0.02
factor.csv,0.0,0.0,0.0,0.06,0.04,0.02,0.0,0.01,0.0,0.02,0.04,0.0,0.0,0.0
jas.csv,0.17,0.06,0.0,0.14,0.06,0.04,0.0,0.11,0.08,0.0,0.15,0.05,0.17,0.24
jmoney.csv,0.0,0.06,0.04,0.07,0.18,0.08,0.0,0.05,0.11,0.04,0.0,0.16,0.17,0.07
jmonkeyengine.csv,0.07,0.43,0.18,0.31,0.0,0.25,0.0,0.09,0.41,0.49,0.11,0.26,0.17,0.07
matrex.csv,0.32,0.14,0.24,0.11,0.12,0.08,0.0,0.0,0.11,0.09,0.15,0.26,0.13,0.05
primefaces.csv,0.71,0.71,1.0,0.45,0.56,0.62,0.5,0.68,0.62,0.68,0.04,0.37,0.48,0.9
roolo.csv,0.07,0.11,0.0,0.25,0.1,0.15,0.5,0.07,0.0,0.26,0.37,0.11,0.22,0.0
sblim.csv,0.1,0.06,0.02,0.0,0.02,0.04,0.0,0.2,0.16,0.05,0.15,0.05,0.3,0.05
