,flylinkdc.csv,xbrlapi.csv,vdsf.csv,n2cms.csv,nuttx.csv,maidsafe-dht.csv,dvt.csv,codeblocks.csv,rtb-team.csv,ldview.csv,bulmages.csv,ctrlr.csv,kowari.csv,super-tux.csv
bulmages.csv,0.24,0.05,0.0,0.18,0.0,0.48,0.14,0.0,0.0,0.19,0.48,0.0,0.42,0.0
codeblocks.csv,0.21,0.5,0.34,0.08,0.18,0.62,0.22,0.49,0.03,0.84,0.26,0.22,0.26,0.2
ctrlr.csv,0.32,0.18,0.0,0.55,0.28,0.25,0.46,0.18,0.41,0.24,0.28,0.24,0.12,0.2
dvt.csv,0.71,0.62,0.29,0.3,0.08,0.4,0.28,0.56,0.03,0.95,0.48,0.51,0.06,0.2
flylinkdc.csv,0.23,0.8,0.94,0.81,0.56,0.4,0.91,0.21,0.78,0.3,0.42,0.47,1.0,0.2
kowari.csv,0.04,0.22,0.01,0.42,0.26,0.25,0.14,0.28,0.46,0.81,0.11,0.8,0.18,0.2
ldview.csv,0.98,0.62,1.0,0.54,1.0,0.98,0.82,0.31,0.3,0.32,0.82,0.27,0.88,1.0
maidsafe-dht.csv,0.12,0.28,0.41,0.3,0.77,0.28,0.35,0.85,0.65,0.14,0.19,0.75,0.56,0.2
n2cms.csv,0.72,0.68,0.43,0.3,0.31,0.43,0.39,0.15,0.14,0.38,0.54,0.31,0.69,0.2
nuttx.csv,0.24,0.25,0.02,0.05,0.51,0.18,0.17,0.41,0.16,0.38,0.19,0.14,0.41,0.2
rtb-team.csv,0.02,0.12,0.0,0.43,0.0,0.15,0.17,0.0,0.11,0.05,0.26,0.08,0.29,0.2
super-tux.csv,0.92,0.6,0.41,0.31,0.97,0.68,0.28,0.85,0.16,0.84,0.7,0.85,0.37,0.0
vdsf.csv,0.81,0.72,0.14,0.73,0.95,0.87,0.79,0.82,1.0,0.59,0.89,0.81,0.95,0.8
xbrlapi.csv,0.09,0.42,0.0,0.36,0.0,0.22,0.13,0.05,0.43,0.05,0.26,0.08,0.69,0.2
