,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.35,0.77,0.45,0.24
columba.csv,0.75,0.25,0.55,0.67
decidr.csv,0.7,0.82,0.74,0.88
jajuk.csv,0.79,0.7,0.92,0.96
