,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,jam-daq.csv,chrysalis.csv
benojt.csv,0.46,0.0,0.0,0.99,0.13,0.17,0.09
chrysalis.csv,0.69,0.59,0.54,0.75,0.8,0.64,0.8
jahshaka.csv,0.52,0.8,0.39,0.31,0.58,0.48,0.7
jam-daq.csv,0.57,0.21,0.39,0.54,0.64,0.69,0.18
jatlas.csv,0.52,0.55,0.53,0.56,0.96,0.65,0.35
jedit.csv,0.75,0.59,0.63,0.0,0.51,0.09,0.61
open-media-library.csv,0.58,0.5,0.69,0.0,0.92,0.72,0.0
