,maidsafe-dht.csv,atlc.csv,theresa.csv,playerstage.csv,knowledge.csv,gnukeda.csv,enlightenment.csv,boost-sandbox.csv,yaprm.csv,kowari.csv,fceugc.csv,proftp.csv,jaolt.csv,tcvp.csv,dspace-gsoc.csv,lufa-lib.csv,xapian.csv,pixel-commandos.csv,uwom.csv
atlc.csv,0.63,0.24,0.78,0.86,0.6,0.47,0.52,0.87,0.66,0.82,0.58,0.73,0.72,0.58,0.68,0.98,0.61,0.33,0.37
boost-sandbox.csv,0.67,0.48,0.56,0.46,0.0,0.25,0.39,0.44,0.5,0.64,0.74,0.76,0.62,1.0,0.84,0.42,0.62,0.82,0.73
dspace-gsoc.csv,0.45,0.0,0.28,0.46,0.2,0.25,0.05,0.46,0.66,0.63,0.65,0.35,0.9,0.42,0.47,0.38,0.42,0.37,0.3
enlightenment.csv,0.98,0.97,1.0,1.0,1.0,1.0,0.34,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,0.99,0.98,0.89,0.98
fceugc.csv,0.43,0.0,0.06,0.54,0.4,0.22,0.36,0.13,0.37,0.74,0.33,0.35,0.48,0.08,0.21,0.0,0.26,0.1,0.1
gnukeda.csv,0.87,0.17,0.44,0.88,0.0,0.25,0.32,0.77,0.5,0.67,0.95,0.81,0.55,0.96,0.68,0.89,0.35,0.71,0.47
jaolt.csv,0.45,0.14,0.44,0.67,0.2,0.28,0.11,0.41,0.68,1.0,0.58,0.46,0.41,0.03,0.37,0.46,0.4,0.24,0.36
knowledge.csv,0.85,0.41,0.54,0.83,0.0,0.25,0.59,0.59,0.71,0.97,0.7,0.7,0.72,0.93,0.84,0.69,0.45,0.66,0.64
kowari.csv,0.35,0.21,0.52,0.66,0.8,0.5,0.28,0.56,0.58,0.22,0.7,0.7,0.45,0.62,0.26,0.38,0.68,0.65,0.85
lufa-lib.csv,0.68,0.28,0.8,0.23,0.8,0.44,0.5,0.41,0.55,0.22,0.56,0.49,0.59,0.73,0.42,0.31,0.72,0.84,0.4
maidsafe-dht.csv,0.2,0.14,0.4,0.64,0.2,0.19,0.11,0.64,0.66,0.55,0.44,0.46,0.24,0.01,0.47,0.18,0.66,0.26,0.23
pixel-commandos.csv,0.12,0.0,0.22,0.06,0.2,0.12,0.14,0.44,0.29,0.06,0.14,0.03,0.03,0.23,0.11,0.34,0.02,0.07,0.13
playerstage.csv,0.43,0.76,0.84,0.23,0.4,0.28,0.41,0.69,0.89,0.77,0.14,0.76,0.62,0.7,0.58,0.67,0.27,0.49,0.68
proftp.csv,0.07,0.0,0.14,0.08,0.0,0.16,0.0,0.28,0.16,0.14,0.14,0.27,0.0,0.0,0.05,0.01,0.24,0.08,0.08
tcvp.csv,0.02,0.07,0.02,0.02,0.0,0.06,0.12,0.05,0.0,0.0,0.02,0.0,0.07,0.26,0.05,0.01,0.0,0.27,0.06
theresa.csv,0.28,0.07,0.24,0.18,0.2,0.09,0.25,0.08,0.24,0.6,0.21,0.27,0.34,0.05,0.21,0.15,0.28,0.34,0.42
uwom.csv,0.58,0.31,0.06,0.17,0.2,0.28,0.5,0.72,0.26,0.67,0.3,0.7,0.45,0.66,0.21,0.31,0.0,0.25,0.26
xapian.csv,0.7,0.62,0.92,0.99,1.0,0.94,0.66,0.87,0.71,1.0,0.51,0.97,0.66,0.24,0.68,0.92,0.17,0.3,0.9
yaprm.csv,0.12,0.0,0.24,0.65,0.2,0.25,0.06,0.38,0.34,0.83,0.42,0.46,0.07,0.0,0.0,0.0,0.52,0.19,0.22
