,xharbour.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,hazelcast.csv,alembik.csv,opengs.csv,fm-classic.csv,mycila.csv,bulmages.csv,jppf-project.csv,mumble.csv,bionote.csv,mevenide.csv,duplicati.csv,tweetsharp.csv
alembik.csv,0.5,0.71,0.72,0.76,0.55,0.96,0.4,0.4,0.78,0.68,0.93,0.68,0.86,0.5,0.54,0.86,0.78,0.78
arsenal-1.csv,0.89,0.92,0.9,0.88,0.96,0.41,0.96,0.96,0.94,0.7,0.92,0.9,0.59,0.88,0.88,0.48,0.95,0.93
atomsite.csv,0.39,0.9,1.0,0.97,0.5,0.81,0.72,0.77,0.95,0.94,1.0,0.65,0.66,0.66,0.74,0.99,0.19,0.62
barracudamvc.csv,0.99,0.3,0.84,0.85,0.98,0.91,1.0,0.98,1.0,1.11,0.89,0.98,0.7,0.98,0.99,0.9,1.0,0.93
bionote.csv,0.3,0.66,0.8,0.78,0.84,0.68,0.68,0.83,0.96,0.75,0.7,0.59,0.89,0.67,0.19,0.75,0.88,0.78
bulmages.csv,1.0,0.65,1.02,0.96,0.91,1.0,0.98,0.96,1.0,1.01,1.0,0.48,1.0,0.6,1.0,0.69,0.95,0.75
fm-classic.csv,0.99,0.84,0.65,0.88,1.0,0.82,0.77,0.87,1.0,0.09,0.81,0.86,0.8,0.96,0.64,0.59,0.93,0.93
hazelcast.csv,0.5,0.95,0.43,0.94,0.69,0.57,0.05,0.77,0.74,0.9,0.77,0.63,0.76,0.47,0.67,0.67,0.16,0.79
jppf-project.csv,0.82,0.88,0.85,0.83,0.84,0.97,0.95,0.91,0.97,0.35,0.86,0.84,0.29,0.92,0.81,0.69,0.86,0.8
megasquirtavr.csv,1.0,0.87,0.47,0.97,0.89,0.94,1.02,0.82,0.93,0.96,0.9,0.71,0.81,0.8,0.92,0.8,0.55,0.66
mevenide.csv,0.62,0.86,0.63,0.76,0.91,0.85,0.96,0.86,1.0,0.56,1.0,0.91,0.71,0.88,0.76,0.34,0.91,0.91
mumble.csv,0.47,0.67,0.75,0.91,0.66,0.86,0.64,0.88,0.75,1.1,0.36,0.69,0.55,0.27,0.8,0.9,0.5,0.81
mycila.csv,0.57,0.74,0.7,0.8,0.82,0.88,0.7,0.96,0.69,1.0,0.29,0.74,0.95,0.83,0.89,0.94,0.36,0.64
opengs.csv,0.45,0.76,0.71,0.84,0.54,0.6,1.06,0.41,0.39,0.74,0.71,0.53,0.93,0.44,0.61,0.92,1.02,0.64
openintents.csv,0.91,0.83,0.85,0.46,0.93,0.85,0.51,0.74,0.86,0.75,0.94,0.87,0.69,1.02,0.89,0.73,1.04,0.96
tweetsharp.csv,0.82,0.74,0.98,0.71,0.69,0.78,1.07,0.8,0.9,0.68,0.79,0.65,1.03,0.52,0.72,0.88,1.07,0.33
xharbour.csv,0.24,1.0,0.66,0.81,0.61,1.0,0.42,0.67,0.99,0.72,0.91,0.71,0.84,0.76,0.48,0.86,1.0,0.69
